ExperimentName,Energy(KWh)_str,Migrations_str,SLA(%)_str,Energy(KWh),Migrations,SLA(%),Days
20110303_lr_RL_1.2,140.81 kWh,15809,0.00684%,140.81,15809,0.00684,1
20110306_lr_RL_1.2,106.11 kWh,11624,0.00661%,106.11,11624,0.00661,2
20110309_lr_RL_1.2,118.71 kWh,13221,0.00775%,118.71,13221,0.00775,3
20110322_lr_RL_1.2,147.59 kWh,19866,0.00768%,147.59,19866,0.00768,4
20110325_lr_RL_1.2,127.26 kWh,15695,0.00720%,127.26,15695,0.0072,5
20110403_lr_RL_1.2,193.74 kWh,23905,0.00744%,193.74,23905,0.00744,6
20110409_lr_RL_1.2,152.41 kWh,18622,0.00694%,152.41,18622,0.00694,7
20110411_lr_RL_1.2,149.61 kWh,18816,0.00738%,149.61,18816,0.00738,8
20110412_lr_RL_1.2,129.62 kWh,15370,0.00716%,129.62,15370,0.00716,9
300_lr_RL_1.2,118.25 kWh,12949,0.00763%,118.25,12949,0.00763,10
301_lr_RL_1.2,152.75 kWh,18842,0.00717%,152.75,18842,0.00717,11
302_lr_RL_1.2,105.88 kWh,11537,0.00641%,105.88,11537,0.00641,12
303_lr_RL_1.2,104.97 kWh,10360,0.00569%,104.97,10360,0.00569,13
304_lr_RL_1.2,192.62 kWh,23278,0.00745%,192.62,23278,0.00745,14
305_lr_RL_1.2,192.75 kWh,23020,0.00729%,192.75,23020,0.00729,15
306_lr_RL_1.2,140.76 kWh,15547,0.00673%,140.76,15547,0.00673,16
307_lr_RL_1.2,105.58 kWh,11243,0.00604%,105.58,11243,0.00604,17
308_lr_RL_1.2,149.53 kWh,18681,0.00730%,149.53,18681,0.0073,18
309_lr_RL_1.2,152.07 kWh,18215,0.00696%,152.07,18215,0.00696,19
310_lr_RL_1.2,129.22 kWh,15690,0.00723%,129.22,15690,0.00723,20
311_lr_RL_1.2,127.42 kWh,15608,0.00727%,127.42,15608,0.00727,21
312_lr_RL_1.2,105.43 kWh,11100,0.00612%,105.43,11100,0.00612,22
313_lr_RL_1.2,149.38 kWh,18737,0.00737%,149.38,18737,0.00737,23
314_lr_RL_1.2,129.48 kWh,15516,0.00717%,129.48,15516,0.00717,24
315_lr_RL_1.2,150.11 kWh,19453,0.00764%,150.11,19453,0.00764,25
316_lr_RL_1.2,153.24 kWh,19415,0.00725%,153.24,19415,0.00725,26
317_lr_RL_1.2,192.86 kWh,23692,0.00743%,192.86,23692,0.00743,27
318_lr_RL_1.2,140.16 kWh,15508,0.00656%,140.16,15508,0.00656,28
319_lr_RL_1.2,193.13 kWh,23341,0.00740%,193.13,23341,0.0074,29
320_lr_RL_1.2,140.11 kWh,15251,0.00652%,140.11,15251,0.00652,30
321_lr_RL_1.2,105.42 kWh,10992,0.00603%,105.42,10992,0.00603,31
