ExperimentName,Energy(KWh)_str,Migrations_str,SLA(%)_str,Energy(KWh),Migrations,SLA(%),Days
20110303_lr_RL_1.2,139.84 kWh,14879,0.00644%,139.84,14879,0.00644,1
20110306_lr_RL_1.2,105.15 kWh,10820,0.00601%,105.15,10820,0.00601,2
20110309_lr_RL_1.2,118.18 kWh,13060,0.00778%,118.18,13060,0.00778,3
20110322_lr_RL_1.2,147.12 kWh,19821,0.00772%,147.12,19821,0.00772,4
20110325_lr_RL_1.2,126.42 kWh,14949,0.00690%,126.42,14949,0.0069,5
20110403_lr_RL_1.2,191.91 kWh,22339,0.00696%,191.91,22339,0.00696,6
20110409_lr_RL_1.2,152.21 kWh,18230,0.00702%,152.21,18230,0.00702,7
20110411_lr_RL_1.2,148.56 kWh,17981,0.00703%,148.56,17981,0.00703,8
20110412_lr_RL_1.2,129.10 kWh,15082,0.00709%,129.1,15082,0.00709,9
300_lr_RL_1.2,117.94 kWh,13027,0.00780%,117.94,13027,0.0078,10
301_lr_RL_1.2,151.98 kWh,18613,0.00705%,151.98,18613,0.00705,11
302_lr_RL_1.2,105.23 kWh,11134,0.00619%,105.23,11134,0.00619,12
303_lr_RL_1.2,104.77 kWh,10724,0.00592%,104.77,10724,0.00592,13
304_lr_RL_1.2,192.22 kWh,22255,0.00711%,192.22,22255,0.00711,14
305_lr_RL_1.2,191.93 kWh,22509,0.00715%,191.93,22509,0.00715,15
306_lr_RL_1.2,139.90 kWh,15258,0.00667%,139.9,15258,0.00667,16
307_lr_RL_1.2,105.18 kWh,10868,0.00595%,105.18,10868,0.00595,17
308_lr_RL_1.2,148.91 kWh,18570,0.00716%,148.91,18570,0.00716,18
309_lr_RL_1.2,152.01 kWh,18976,0.00714%,152.01,18976,0.00714,19
310_lr_RL_1.2,128.56 kWh,14736,0.00687%,128.56,14736,0.00687,20
311_lr_RL_1.2,126.58 kWh,14737,0.00679%,126.58,14737,0.00679,21
312_lr_RL_1.2,105.05 kWh,10729,0.00588%,105.05,10729,0.00588,22
313_lr_RL_1.2,149.35 kWh,19177,0.00749%,149.35,19177,0.00749,23
314_lr_RL_1.2,128.22 kWh,14804,0.00688%,128.22,14804,0.00688,24
315_lr_RL_1.2,149.27 kWh,18351,0.00728%,149.27,18351,0.00728,25
316_lr_RL_1.2,151.68 kWh,17805,0.00672%,151.68,17805,0.00672,26
317_lr_RL_1.2,192.03 kWh,22414,0.00707%,192.03,22414,0.00707,27
318_lr_RL_1.2,139.78 kWh,15153,0.00665%,139.78,15153,0.00665,28
319_lr_RL_1.2,192.75 kWh,23513,0.00757%,192.75,23513,0.00757,29
320_lr_RL_1.2,140.07 kWh,15327,0.00681%,140.07,15327,0.00681,30
321_lr_RL_1.2,105.43 kWh,10852,0.00604%,105.43,10852,0.00604,31
