ExperimentName,Energy(KWh)_str,Migrations_str,SLA(%)_str,Energy(KWh),Migrations,SLA(%),Days
20110303_lr_RL_1.2,139.83 kWh,15016,0.00662%,139.83,15016,0.00662,1
20110306_lr_RL_1.2,105.08 kWh,10663,0.00579%,105.08,10663,0.00579,2
20110309_lr_RL_1.2,117.98 kWh,12704,0.00759%,117.98,12704,0.00759,3
20110322_lr_RL_1.2,146.95 kWh,18791,0.00720%,146.95,18791,0.0072,4
20110325_lr_RL_1.2,126.47 kWh,14634,0.00687%,126.47,14634,0.00687,5
20110403_lr_RL_1.2,192.00 kWh,22221,0.00710%,192.0,22221,0.0071,6
20110409_lr_RL_1.2,152.12 kWh,18576,0.00704%,152.12,18576,0.00704,7
20110411_lr_RL_1.2,148.84 kWh,18606,0.00725%,148.84,18606,0.00725,8
20110412_lr_RL_1.2,128.88 kWh,15027,0.00686%,128.88,15027,0.00686,9
300_lr_RL_1.2,118.44 kWh,13348,0.00780%,118.44,13348,0.0078,10
301_lr_RL_1.2,151.73 kWh,17998,0.00676%,151.73,17998,0.00676,11
302_lr_RL_1.2,105.16 kWh,10884,0.00596%,105.16,10884,0.00596,12
303_lr_RL_1.2,104.81 kWh,10508,0.00575%,104.81,10508,0.00575,13
304_lr_RL_1.2,192.47 kWh,22684,0.00730%,192.47,22684,0.0073,14
305_lr_RL_1.2,191.89 kWh,22241,0.00721%,191.89,22241,0.00721,15
306_lr_RL_1.2,139.90 kWh,14998,0.00664%,139.9,14998,0.00664,16
307_lr_RL_1.2,105.14 kWh,10631,0.00610%,105.14,10631,0.0061,17
308_lr_RL_1.2,149.08 kWh,18646,0.00739%,149.08,18646,0.00739,18
309_lr_RL_1.2,152.49 kWh,18816,0.00704%,152.49,18816,0.00704,19
310_lr_RL_1.2,128.77 kWh,14821,0.00677%,128.77,14821,0.00677,20
311_lr_RL_1.2,126.52 kWh,15137,0.00699%,126.52,15137,0.00699,21
312_lr_RL_1.2,105.32 kWh,10883,0.00597%,105.32,10883,0.00597,22
313_lr_RL_1.2,149.12 kWh,18546,0.00735%,149.12,18546,0.00735,23
314_lr_RL_1.2,129.08 kWh,15057,0.00689%,129.08,15057,0.00689,24
315_lr_RL_1.2,149.55 kWh,18915,0.00770%,149.55,18915,0.0077,25
316_lr_RL_1.2,152.38 kWh,18530,0.00709%,152.38,18530,0.00709,26
317_lr_RL_1.2,191.97 kWh,22074,0.00705%,191.97,22074,0.00705,27
318_lr_RL_1.2,140.76 kWh,15608,0.00671%,140.76,15608,0.00671,28
319_lr_RL_1.2,192.84 kWh,22968,0.00737%,192.84,22968,0.00737,29
320_lr_RL_1.2,140.23 kWh,15250,0.00675%,140.23,15250,0.00675,30
321_lr_RL_1.2,105.19 kWh,10916,0.00614%,105.19,10916,0.00614,31
