ExperimentName,Energy(KWh)_str,Migrations_str,SLA(%)_str,Energy(KWh),Migrations,SLA(%),Days
20110303_lr_RL_1.2,140.00 kWh,15029,0.00648%,140.0,15029,0.00648,1
20110306_lr_RL_1.2,105.49 kWh,11093,0.00623%,105.49,11093,0.00623,2
20110309_lr_RL_1.2,118.16 kWh,12985,0.00787%,118.16,12985,0.00787,3
20110322_lr_RL_1.2,146.99 kWh,19363,0.00758%,146.99,19363,0.00758,4
20110325_lr_RL_1.2,127.26 kWh,15422,0.00709%,127.26,15422,0.00709,5
20110403_lr_RL_1.2,192.55 kWh,22799,0.00723%,192.55,22799,0.00723,6
20110409_lr_RL_1.2,152.62 kWh,19111,0.00722%,152.62,19111,0.00722,7
20110411_lr_RL_1.2,149.46 kWh,18559,0.00727%,149.46,18559,0.00727,8
20110412_lr_RL_1.2,129.17 kWh,15381,0.00712%,129.17,15381,0.00712,9
300_lr_RL_1.2,118.22 kWh,13430,0.00794%,118.22,13430,0.00794,10
301_lr_RL_1.2,152.39 kWh,18625,0.00699%,152.39,18625,0.00699,11
302_lr_RL_1.2,105.41 kWh,10941,0.00626%,105.41,10941,0.00626,12
303_lr_RL_1.2,105.23 kWh,10471,0.00579%,105.23,10471,0.00579,13
304_lr_RL_1.2,192.46 kWh,22668,0.00722%,192.46,22668,0.00722,14
305_lr_RL_1.2,192.98 kWh,23131,0.00747%,192.98,23131,0.00747,15
306_lr_RL_1.2,140.83 kWh,15433,0.00668%,140.83,15433,0.00668,16
307_lr_RL_1.2,105.30 kWh,11265,0.00616%,105.3,11265,0.00616,17
308_lr_RL_1.2,149.06 kWh,18495,0.00732%,149.06,18495,0.00732,18
309_lr_RL_1.2,152.36 kWh,18933,0.00719%,152.36,18933,0.00719,19
310_lr_RL_1.2,129.71 kWh,15612,0.00716%,129.71,15612,0.00716,20
311_lr_RL_1.2,127.21 kWh,15168,0.00707%,127.21,15168,0.00707,21
312_lr_RL_1.2,105.59 kWh,11218,0.00625%,105.59,11218,0.00625,22
313_lr_RL_1.2,149.26 kWh,18776,0.00753%,149.26,18776,0.00753,23
314_lr_RL_1.2,129.18 kWh,15374,0.00710%,129.18,15374,0.0071,24
315_lr_RL_1.2,149.49 kWh,18928,0.00745%,149.49,18928,0.00745,25
316_lr_RL_1.2,152.52 kWh,18510,0.00712%,152.52,18510,0.00712,26
317_lr_RL_1.2,192.51 kWh,22581,0.00708%,192.51,22581,0.00708,27
318_lr_RL_1.2,140.12 kWh,15238,0.00657%,140.12,15238,0.00657,28
319_lr_RL_1.2,192.85 kWh,22871,0.00721%,192.85,22871,0.00721,29
320_lr_RL_1.2,140.63 kWh,15856,0.00699%,140.63,15856,0.00699,30
321_lr_RL_1.2,105.26 kWh,10837,0.00612%,105.26,10837,0.00612,31
