ExperimentName,Energy(KWh)_str,Migrations_str,SLA(%)_str,Energy(KWh),Migrations,SLA(%),Days
20110303_lr_RL_1.2,140.09 kWh,15657,0.00680%,140.09,15657,0.0068,1
20110306_lr_RL_1.2,105.23 kWh,10891,0.00588%,105.23,10891,0.00588,2
20110309_lr_RL_1.2,118.00 kWh,13083,0.00770%,118.0,13083,0.0077,3
20110322_lr_RL_1.2,147.35 kWh,19503,0.00758%,147.35,19503,0.00758,4
20110325_lr_RL_1.2,127.23 kWh,15614,0.00749%,127.23,15614,0.00749,5
20110403_lr_RL_1.2,192.03 kWh,22400,0.00716%,192.03,22400,0.00716,6
20110409_lr_RL_1.2,151.97 kWh,17803,0.00704%,151.97,17803,0.00704,7
20110411_lr_RL_1.2,149.30 kWh,18769,0.00741%,149.3,18769,0.00741,8
20110412_lr_RL_1.2,128.90 kWh,15182,0.00699%,128.9,15182,0.00699,9
300_lr_RL_1.2,118.20 kWh,13061,0.00765%,118.2,13061,0.00765,10
301_lr_RL_1.2,151.65 kWh,18303,0.00705%,151.65,18303,0.00705,11
302_lr_RL_1.2,104.61 kWh,10488,0.00575%,104.61,10488,0.00575,12
303_lr_RL_1.2,105.15 kWh,10752,0.00584%,105.15,10752,0.00584,13
304_lr_RL_1.2,191.72 kWh,21953,0.00686%,191.72,21953,0.00686,14
305_lr_RL_1.2,193.00 kWh,23150,0.00729%,193.0,23150,0.00729,15
306_lr_RL_1.2,139.83 kWh,15294,0.00662%,139.83,15294,0.00662,16
307_lr_RL_1.2,104.82 kWh,10360,0.00564%,104.82,10360,0.00564,17
308_lr_RL_1.2,148.93 kWh,18418,0.00729%,148.93,18418,0.00729,18
309_lr_RL_1.2,151.81 kWh,18317,0.00694%,151.81,18317,0.00694,19
310_lr_RL_1.2,128.50 kWh,14686,0.00675%,128.5,14686,0.00675,20
311_lr_RL_1.2,126.93 kWh,15276,0.00710%,126.93,15276,0.0071,21
312_lr_RL_1.2,105.21 kWh,10473,0.00577%,105.21,10473,0.00577,22
313_lr_RL_1.2,149.07 kWh,18910,0.00743%,149.07,18910,0.00743,23
314_lr_RL_1.2,128.81 kWh,14827,0.00687%,128.81,14827,0.00687,24
315_lr_RL_1.2,149.56 kWh,19004,0.00762%,149.56,19004,0.00762,25
316_lr_RL_1.2,152.06 kWh,18166,0.00700%,152.06,18166,0.007,26
317_lr_RL_1.2,192.14 kWh,22747,0.00721%,192.14,22747,0.00721,27
318_lr_RL_1.2,140.47 kWh,15188,0.00665%,140.47,15188,0.00665,28
319_lr_RL_1.2,192.05 kWh,22607,0.00712%,192.05,22607,0.00712,29
320_lr_RL_1.2,139.98 kWh,15256,0.00657%,139.98,15256,0.00657,30
321_lr_RL_1.2,104.68 kWh,10447,0.00572%,104.68,10447,0.00572,31
