ExperimentName,Energy(KWh)_str,Migrations_str,SLA(%)_str,Energy(KWh),Migrations,SLA(%),Days
20110303_lr_RL_1.2,140.97 kWh,15755,0.00697%,140.97,15755,0.00697,1
20110306_lr_RL_1.2,104.93 kWh,10632,0.00580%,104.93,10632,0.0058,2
20110309_lr_RL_1.2,117.52 kWh,12601,0.00727%,117.52,12601,0.00727,3
20110322_lr_RL_1.2,147.14 kWh,19100,0.00730%,147.14,19100,0.0073,4
20110325_lr_RL_1.2,126.68 kWh,14944,0.00696%,126.68,14944,0.00696,5
20110403_lr_RL_1.2,192.02 kWh,22419,0.00715%,192.02,22419,0.00715,6
20110409_lr_RL_1.2,152.40 kWh,18501,0.00716%,152.4,18501,0.00716,7
20110411_lr_RL_1.2,149.15 kWh,18513,0.00741%,149.15,18513,0.00741,8
20110412_lr_RL_1.2,129.19 kWh,15670,0.00714%,129.19,15670,0.00714,9
300_lr_RL_1.2,118.02 kWh,13089,0.00798%,118.02,13089,0.00798,10
301_lr_RL_1.2,151.74 kWh,18277,0.00697%,151.74,18277,0.00697,11
302_lr_RL_1.2,105.04 kWh,10716,0.00587%,105.04,10716,0.00587,12
303_lr_RL_1.2,105.34 kWh,11042,0.00601%,105.34,11042,0.00601,13
304_lr_RL_1.2,191.78 kWh,22154,0.00708%,191.78,22154,0.00708,14
305_lr_RL_1.2,192.59 kWh,22753,0.00725%,192.59,22753,0.00725,15
306_lr_RL_1.2,140.23 kWh,15567,0.00680%,140.23,15567,0.0068,16
307_lr_RL_1.2,105.54 kWh,11127,0.00628%,105.54,11127,0.00628,17
308_lr_RL_1.2,149.45 kWh,18935,0.00756%,149.45,18935,0.00756,18
309_lr_RL_1.2,152.24 kWh,18186,0.00695%,152.24,18186,0.00695,19
310_lr_RL_1.2,129.00 kWh,15580,0.00710%,129.0,15580,0.0071,20
311_lr_RL_1.2,127.04 kWh,15069,0.00712%,127.04,15069,0.00712,21
312_lr_RL_1.2,105.40 kWh,11014,0.00620%,105.4,11014,0.0062,22
313_lr_RL_1.2,148.88 kWh,18248,0.00731%,148.88,18248,0.00731,23
314_lr_RL_1.2,129.23 kWh,15484,0.00702%,129.23,15484,0.00702,24
315_lr_RL_1.2,149.44 kWh,18609,0.00739%,149.44,18609,0.00739,25
316_lr_RL_1.2,152.14 kWh,18546,0.00696%,152.14,18546,0.00696,26
317_lr_RL_1.2,192.89 kWh,23065,0.00741%,192.89,23065,0.00741,27
318_lr_RL_1.2,139.88 kWh,15266,0.00660%,139.88,15266,0.0066,28
319_lr_RL_1.2,192.33 kWh,22770,0.00723%,192.33,22770,0.00723,29
320_lr_RL_1.2,140.16 kWh,15417,0.00679%,140.16,15417,0.00679,30
321_lr_RL_1.2,104.99 kWh,10915,0.00606%,104.99,10915,0.00606,31
