ExperimentName,Energy(KWh)_str,Migrations_str,SLA(%)_str,Energy(KWh),Migrations,SLA(%),Days
20110303_lr_RL_1.2,140.37 kWh,15565,0.00684%,140.37,15565,0.00684,1
20110306_lr_RL_1.2,105.13 kWh,10959,0.00613%,105.13,10959,0.00613,2
20110309_lr_RL_1.2,117.98 kWh,12904,0.00758%,117.98,12904,0.00758,3
20110322_lr_RL_1.2,147.27 kWh,19311,0.00751%,147.27,19311,0.00751,4
20110325_lr_RL_1.2,126.57 kWh,14740,0.00682%,126.57,14740,0.00682,5
20110403_lr_RL_1.2,192.35 kWh,22221,0.00712%,192.35,22221,0.00712,6
20110409_lr_RL_1.2,151.92 kWh,18187,0.00689%,151.92,18187,0.00689,7
20110411_lr_RL_1.2,149.03 kWh,18476,0.00738%,149.03,18476,0.00738,8
20110412_lr_RL_1.2,129.11 kWh,15599,0.00707%,129.11,15599,0.00707,9
300_lr_RL_1.2,118.11 kWh,13326,0.00783%,118.11,13326,0.00783,10
301_lr_RL_1.2,151.29 kWh,18128,0.00672%,151.29,18128,0.00672,11
302_lr_RL_1.2,105.14 kWh,10505,0.00586%,105.14,10505,0.00586,12
303_lr_RL_1.2,105.34 kWh,10882,0.00592%,105.34,10882,0.00592,13
304_lr_RL_1.2,191.94 kWh,22444,0.00713%,191.94,22444,0.00713,14
305_lr_RL_1.2,192.32 kWh,22609,0.00717%,192.32,22609,0.00717,15
306_lr_RL_1.2,139.96 kWh,14909,0.00669%,139.96,14909,0.00669,16
307_lr_RL_1.2,104.72 kWh,10495,0.00572%,104.72,10495,0.00572,17
308_lr_RL_1.2,148.56 kWh,18132,0.00704%,148.56,18132,0.00704,18
309_lr_RL_1.2,151.83 kWh,18013,0.00687%,151.83,18013,0.00687,19
310_lr_RL_1.2,128.42 kWh,14535,0.00671%,128.42,14535,0.00671,20
311_lr_RL_1.2,126.44 kWh,14917,0.00695%,126.44,14917,0.00695,21
312_lr_RL_1.2,104.82 kWh,10369,0.00570%,104.82,10369,0.0057,22
313_lr_RL_1.2,148.90 kWh,18322,0.00720%,148.9,18322,0.0072,23
314_lr_RL_1.2,128.77 kWh,14695,0.00692%,128.77,14695,0.00692,24
315_lr_RL_1.2,149.15 kWh,18375,0.00731%,149.15,18375,0.00731,25
316_lr_RL_1.2,152.19 kWh,18924,0.00714%,152.19,18924,0.00714,26
317_lr_RL_1.2,192.03 kWh,22677,0.00724%,192.03,22677,0.00724,27
318_lr_RL_1.2,140.76 kWh,15378,0.00668%,140.76,15378,0.00668,28
319_lr_RL_1.2,192.03 kWh,22484,0.00701%,192.03,22484,0.00701,29
320_lr_RL_1.2,140.01 kWh,15022,0.00665%,140.01,15022,0.00665,30
321_lr_RL_1.2,105.40 kWh,11184,0.00620%,105.4,11184,0.0062,31
