ExperimentName,Energy(KWh)_str,Migrations_str,SLA(%)_str,Energy(KWh),Migrations,SLA(%),Days
20110303_lr_RL_1.2,140.52 kWh,15800,0.00688%,140.52,15800,0.00688,1
20110306_lr_RL_1.2,105.67 kWh,11067,0.00624%,105.67,11067,0.00624,2
20110309_lr_RL_1.2,117.75 kWh,12996,0.00760%,117.75,12996,0.0076,3
20110322_lr_RL_1.2,147.60 kWh,19321,0.00762%,147.6,19321,0.00762,4
20110325_lr_RL_1.2,126.96 kWh,15280,0.00709%,126.96,15280,0.00709,5
20110403_lr_RL_1.2,192.49 kWh,22853,0.00718%,192.49,22853,0.00718,6
20110409_lr_RL_1.2,152.16 kWh,18111,0.00688%,152.16,18111,0.00688,7
20110411_lr_RL_1.2,149.41 kWh,19010,0.00736%,149.41,19010,0.00736,8
20110412_lr_RL_1.2,128.92 kWh,15597,0.00711%,128.92,15597,0.00711,9
300_lr_RL_1.2,118.23 kWh,13194,0.00764%,118.23,13194,0.00764,10
301_lr_RL_1.2,152.44 kWh,19288,0.00730%,152.44,19288,0.0073,11
302_lr_RL_1.2,105.51 kWh,11109,0.00598%,105.51,11109,0.00598,12
303_lr_RL_1.2,104.77 kWh,10165,0.00552%,104.77,10165,0.00552,13
304_lr_RL_1.2,192.34 kWh,22361,0.00707%,192.34,22361,0.00707,14
305_lr_RL_1.2,192.70 kWh,22826,0.00727%,192.7,22826,0.00727,15
306_lr_RL_1.2,140.36 kWh,15534,0.00666%,140.36,15534,0.00666,16
307_lr_RL_1.2,105.07 kWh,10807,0.00588%,105.07,10807,0.00588,17
308_lr_RL_1.2,149.65 kWh,18897,0.00747%,149.65,18897,0.00747,18
309_lr_RL_1.2,152.29 kWh,19202,0.00727%,152.29,19202,0.00727,19
310_lr_RL_1.2,128.87 kWh,15151,0.00705%,128.87,15151,0.00705,20
311_lr_RL_1.2,126.84 kWh,15386,0.00721%,126.84,15386,0.00721,21
312_lr_RL_1.2,105.13 kWh,10821,0.00570%,105.13,10821,0.0057,22
313_lr_RL_1.2,149.30 kWh,18387,0.00732%,149.3,18387,0.00732,23
314_lr_RL_1.2,129.39 kWh,15179,0.00718%,129.39,15179,0.00718,24
315_lr_RL_1.2,149.09 kWh,18591,0.00723%,149.09,18591,0.00723,25
316_lr_RL_1.2,152.12 kWh,18549,0.00693%,152.12,18549,0.00693,26
317_lr_RL_1.2,192.20 kWh,22674,0.00716%,192.2,22674,0.00716,27
318_lr_RL_1.2,141.10 kWh,16145,0.00716%,141.1,16145,0.00716,28
319_lr_RL_1.2,192.37 kWh,22883,0.00709%,192.37,22883,0.00709,29
320_lr_RL_1.2,140.40 kWh,15803,0.00690%,140.4,15803,0.0069,30
321_lr_RL_1.2,105.19 kWh,10544,0.00583%,105.19,10544,0.00583,31
