ExperimentName,Energy(KWh)_str,Migrations_str,SLA(%)_str,Energy(KWh),Migrations,SLA(%),Days
20110303_lr_RL_1.2,140.17 kWh,15399,0.00675%,140.17,15399,0.00675,1
20110306_lr_RL_1.2,105.25 kWh,11048,0.00617%,105.25,11048,0.00617,2
20110309_lr_RL_1.2,118.13 kWh,13116,0.00776%,118.13,13116,0.00776,3
20110322_lr_RL_1.2,147.73 kWh,20123,0.00755%,147.73,20123,0.00755,4
20110325_lr_RL_1.2,126.74 kWh,15143,0.00710%,126.74,15143,0.0071,5
20110403_lr_RL_1.2,193.09 kWh,23028,0.00728%,193.09,23028,0.00728,6
20110409_lr_RL_1.2,151.77 kWh,18204,0.00689%,151.77,18204,0.00689,7
20110411_lr_RL_1.2,149.79 kWh,19236,0.00763%,149.79,19236,0.00763,8
20110412_lr_RL_1.2,128.87 kWh,15293,0.00701%,128.87,15293,0.00701,9
300_lr_RL_1.2,118.22 kWh,13153,0.00787%,118.22,13153,0.00787,10
301_lr_RL_1.2,151.91 kWh,18133,0.00668%,151.91,18133,0.00668,11
302_lr_RL_1.2,104.87 kWh,10355,0.00566%,104.87,10355,0.00566,12
303_lr_RL_1.2,105.50 kWh,11183,0.00610%,105.5,11183,0.0061,13
304_lr_RL_1.2,192.48 kWh,23274,0.00727%,192.48,23274,0.00727,14
305_lr_RL_1.2,192.49 kWh,22993,0.00716%,192.49,22993,0.00716,15
306_lr_RL_1.2,140.48 kWh,15345,0.00661%,140.48,15345,0.00661,16
307_lr_RL_1.2,105.78 kWh,11541,0.00668%,105.78,11541,0.00668,17
308_lr_RL_1.2,149.34 kWh,18471,0.00730%,149.34,18471,0.0073,18
309_lr_RL_1.2,152.18 kWh,18809,0.00705%,152.18,18809,0.00705,19
310_lr_RL_1.2,129.09 kWh,15293,0.00690%,129.09,15293,0.0069,20
311_lr_RL_1.2,127.08 kWh,15366,0.00696%,127.08,15366,0.00696,21
312_lr_RL_1.2,105.37 kWh,11177,0.00616%,105.37,11177,0.00616,22
313_lr_RL_1.2,149.65 kWh,19059,0.00746%,149.65,19059,0.00746,23
314_lr_RL_1.2,129.45 kWh,15464,0.00730%,129.45,15464,0.0073,24
315_lr_RL_1.2,149.44 kWh,18223,0.00720%,149.44,18223,0.0072,25
316_lr_RL_1.2,152.23 kWh,18654,0.00706%,152.23,18654,0.00706,26
317_lr_RL_1.2,192.39 kWh,22154,0.00691%,192.39,22154,0.00691,27
318_lr_RL_1.2,140.68 kWh,15346,0.00676%,140.68,15346,0.00676,28
319_lr_RL_1.2,193.09 kWh,23281,0.00736%,193.09,23281,0.00736,29
320_lr_RL_1.2,140.75 kWh,15553,0.00689%,140.75,15553,0.00689,30
321_lr_RL_1.2,104.88 kWh,10299,0.00561%,104.88,10299,0.00561,31
