ExperimentName,Energy(KWh)_str,Migrations_str,SLA(%)_str,Energy(KWh),Migrations,SLA(%),Days
20110303_lr_RL_1.2,140.08 kWh,15380,0.00663%,140.08,15380,0.00663,1
20110306_lr_RL_1.2,104.95 kWh,10670,0.00577%,104.95,10670,0.00577,2
20110309_lr_RL_1.2,118.10 kWh,13096,0.00778%,118.1,13096,0.00778,3
20110322_lr_RL_1.2,147.09 kWh,19471,0.00743%,147.09,19471,0.00743,4
20110325_lr_RL_1.2,127.15 kWh,15743,0.00739%,127.15,15743,0.00739,5
20110403_lr_RL_1.2,192.81 kWh,23130,0.00736%,192.81,23130,0.00736,6
20110409_lr_RL_1.2,152.48 kWh,18546,0.00709%,152.48,18546,0.00709,7
20110411_lr_RL_1.2,148.84 kWh,18189,0.00725%,148.84,18189,0.00725,8
20110412_lr_RL_1.2,128.93 kWh,15239,0.00709%,128.93,15239,0.00709,9
300_lr_RL_1.2,118.25 kWh,13303,0.00773%,118.25,13303,0.00773,10
301_lr_RL_1.2,151.97 kWh,18187,0.00681%,151.97,18187,0.00681,11
302_lr_RL_1.2,105.52 kWh,11554,0.00656%,105.52,11554,0.00656,12
303_lr_RL_1.2,105.05 kWh,10574,0.00591%,105.05,10574,0.00591,13
304_lr_RL_1.2,192.56 kWh,22643,0.00726%,192.56,22643,0.00726,14
305_lr_RL_1.2,192.36 kWh,22510,0.00722%,192.36,22510,0.00722,15
306_lr_RL_1.2,140.97 kWh,15749,0.00701%,140.97,15749,0.00701,16
307_lr_RL_1.2,105.71 kWh,11330,0.00644%,105.71,11330,0.00644,17
308_lr_RL_1.2,149.11 kWh,18307,0.00727%,149.11,18307,0.00727,18
309_lr_RL_1.2,152.09 kWh,18604,0.00704%,152.09,18604,0.00704,19
310_lr_RL_1.2,129.12 kWh,15676,0.00713%,129.12,15676,0.00713,20
311_lr_RL_1.2,126.62 kWh,14971,0.00692%,126.62,14971,0.00692,21
312_lr_RL_1.2,105.36 kWh,11042,0.00622%,105.36,11042,0.00622,22
313_lr_RL_1.2,148.88 kWh,18895,0.00742%,148.88,18895,0.00742,23
314_lr_RL_1.2,128.99 kWh,15428,0.00715%,128.99,15428,0.00715,24
315_lr_RL_1.2,149.11 kWh,18601,0.00759%,149.11,18601,0.00759,25
316_lr_RL_1.2,151.49 kWh,17971,0.00670%,151.49,17971,0.0067,26
317_lr_RL_1.2,192.17 kWh,22667,0.00710%,192.17,22667,0.0071,27
318_lr_RL_1.2,140.08 kWh,15315,0.00664%,140.08,15315,0.00664,28
319_lr_RL_1.2,191.89 kWh,22421,0.00720%,191.89,22421,0.0072,29
320_lr_RL_1.2,140.31 kWh,15594,0.00676%,140.31,15594,0.00676,30
321_lr_RL_1.2,105.07 kWh,10805,0.00600%,105.07,10805,0.006,31
