ExperimentName,Energy(KWh)_str,Migrations_str,SLA(%)_str,Energy(KWh),Migrations,SLA(%),Days
20110303_lr_RL_1.2,140.56 kWh,15532,0.00684%,140.56,15532,0.00684,1
20110306_lr_RL_1.2,105.52 kWh,11206,0.00613%,105.52,11206,0.00613,2
20110309_lr_RL_1.2,117.92 kWh,12834,0.00745%,117.92,12834,0.00745,3
20110322_lr_RL_1.2,147.31 kWh,19709,0.00747%,147.31,19709,0.00747,4
20110325_lr_RL_1.2,126.55 kWh,14869,0.00673%,126.55,14869,0.00673,5
20110403_lr_RL_1.2,192.57 kWh,22934,0.00725%,192.57,22934,0.00725,6
20110409_lr_RL_1.2,152.19 kWh,19005,0.00715%,152.19,19005,0.00715,7
20110411_lr_RL_1.2,149.94 kWh,18935,0.00751%,149.94,18935,0.00751,8
20110412_lr_RL_1.2,129.13 kWh,15378,0.00703%,129.13,15378,0.00703,9
300_lr_RL_1.2,118.19 kWh,13248,0.00783%,118.19,13248,0.00783,10
301_lr_RL_1.2,151.75 kWh,18126,0.00691%,151.75,18126,0.00691,11
302_lr_RL_1.2,105.07 kWh,10725,0.00588%,105.07,10725,0.00588,12
303_lr_RL_1.2,105.09 kWh,10695,0.00582%,105.09,10695,0.00582,13
304_lr_RL_1.2,192.31 kWh,22382,0.00706%,192.31,22382,0.00706,14
305_lr_RL_1.2,192.32 kWh,22358,0.00709%,192.32,22358,0.00709,15
306_lr_RL_1.2,140.53 kWh,15023,0.00653%,140.53,15023,0.00653,16
307_lr_RL_1.2,105.55 kWh,11499,0.00632%,105.55,11499,0.00632,17
308_lr_RL_1.2,149.15 kWh,18440,0.00721%,149.15,18440,0.00721,18
309_lr_RL_1.2,152.65 kWh,18923,0.00731%,152.65,18923,0.00731,19
310_lr_RL_1.2,129.01 kWh,15273,0.00707%,129.01,15273,0.00707,20
311_lr_RL_1.2,126.78 kWh,15399,0.00702%,126.78,15399,0.00702,21
312_lr_RL_1.2,105.49 kWh,11114,0.00623%,105.49,11114,0.00623,22
313_lr_RL_1.2,148.96 kWh,18894,0.00728%,148.96,18894,0.00728,23
314_lr_RL_1.2,129.23 kWh,15698,0.00734%,129.23,15698,0.00734,24
315_lr_RL_1.2,149.31 kWh,18421,0.00726%,149.31,18421,0.00726,25
316_lr_RL_1.2,152.36 kWh,18788,0.00712%,152.36,18788,0.00712,26
317_lr_RL_1.2,192.89 kWh,23387,0.00737%,192.89,23387,0.00737,27
318_lr_RL_1.2,140.05 kWh,15357,0.00658%,140.05,15357,0.00658,28
319_lr_RL_1.2,192.78 kWh,23068,0.00723%,192.78,23068,0.00723,29
320_lr_RL_1.2,140.80 kWh,15847,0.00686%,140.8,15847,0.00686,30
321_lr_RL_1.2,105.49 kWh,10996,0.00618%,105.49,10996,0.00618,31
