ExperimentName,Energy(KWh)_str,Migrations_str,SLA(%)_str,Energy(KWh),Migrations,SLA(%),Days
20110303_lr_RL_1.2,140.81 kWh,16649,0.00700%,140.81,16649,0.007,1
20110306_lr_RL_1.2,105.79 kWh,11701,0.00625%,105.79,11701,0.00625,2
20110309_lr_RL_1.2,118.64 kWh,14162,0.00781%,118.64,14162,0.00781,3
20110322_lr_RL_1.2,148.62 kWh,20998,0.00774%,148.62,20998,0.00774,4
20110325_lr_RL_1.2,127.55 kWh,16166,0.00714%,127.55,16166,0.00714,5
20110403_lr_RL_1.2,194.41 kWh,24991,0.00741%,194.41,24991,0.00741,6
20110409_lr_RL_1.2,153.07 kWh,19488,0.00711%,153.07,19488,0.00711,7
20110411_lr_RL_1.2,150.74 kWh,19954,0.00771%,150.74,19954,0.00771,8
20110412_lr_RL_1.2,129.83 kWh,16570,0.00735%,129.83,16570,0.00735,9
300_lr_RL_1.2,119.14 kWh,14063,0.00825%,119.14,14063,0.00825,10
301_lr_RL_1.2,153.84 kWh,20358,0.00763%,153.84,20358,0.00763,11
302_lr_RL_1.2,105.84 kWh,11496,0.00614%,105.84,11496,0.00614,12
303_lr_RL_1.2,106.13 kWh,11790,0.00633%,106.13,11790,0.00633,13
304_lr_RL_1.2,193.78 kWh,24684,0.00748%,193.78,24684,0.00748,14
305_lr_RL_1.2,193.36 kWh,24254,0.00740%,193.36,24254,0.0074,15
306_lr_RL_1.2,140.86 kWh,16304,0.00677%,140.86,16304,0.00677,16
307_lr_RL_1.2,105.76 kWh,11852,0.00619%,105.76,11852,0.00619,17
308_lr_RL_1.2,150.09 kWh,19862,0.00762%,150.09,19862,0.00762,18
309_lr_RL_1.2,153.19 kWh,19777,0.00727%,153.19,19777,0.00727,19
310_lr_RL_1.2,129.28 kWh,16256,0.00716%,129.28,16256,0.00716,20
311_lr_RL_1.2,127.22 kWh,16122,0.00730%,127.22,16122,0.0073,21
312_lr_RL_1.2,105.95 kWh,11595,0.00610%,105.95,11595,0.0061,22
313_lr_RL_1.2,150.50 kWh,20041,0.00760%,150.5,20041,0.0076,23
314_lr_RL_1.2,129.61 kWh,15882,0.00721%,129.61,15882,0.00721,24
315_lr_RL_1.2,150.10 kWh,20149,0.00789%,150.1,20149,0.00789,25
316_lr_RL_1.2,153.04 kWh,19900,0.00720%,153.04,19900,0.0072,26
317_lr_RL_1.2,194.00 kWh,24635,0.00743%,194.0,24635,0.00743,27
318_lr_RL_1.2,140.42 kWh,16274,0.00672%,140.42,16274,0.00672,28
319_lr_RL_1.2,193.76 kWh,24185,0.00740%,193.76,24185,0.0074,29
320_lr_RL_1.2,140.64 kWh,15959,0.00668%,140.64,15959,0.00668,30
321_lr_RL_1.2,105.93 kWh,11716,0.00634%,105.93,11716,0.00634,31
