ExperimentName,Energy(KWh)_str,Migrations_str,SLA(%)_str,Energy(KWh),Migrations,SLA(%),Days
20110303_lr_RL_1.2,140.84 kWh,16233,0.00698%,140.84,16233,0.00698,1
20110306_lr_RL_1.2,105.64 kWh,11674,0.00620%,105.64,11674,0.0062,2
20110309_lr_RL_1.2,118.29 kWh,13116,0.00763%,118.29,13116,0.00763,3
20110322_lr_RL_1.2,148.37 kWh,20099,0.00751%,148.37,20099,0.00751,4
20110325_lr_RL_1.2,127.81 kWh,15856,0.00733%,127.81,15856,0.00733,5
20110403_lr_RL_1.2,192.87 kWh,23202,0.00714%,192.87,23202,0.00714,6
20110409_lr_RL_1.2,152.74 kWh,19290,0.00711%,152.74,19290,0.00711,7
20110411_lr_RL_1.2,149.37 kWh,19236,0.00776%,149.37,19236,0.00776,8
20110412_lr_RL_1.2,129.08 kWh,15567,0.00704%,129.08,15567,0.00704,9
300_lr_RL_1.2,118.32 kWh,13333,0.00760%,118.32,13333,0.0076,10
301_lr_RL_1.2,152.64 kWh,19024,0.00704%,152.64,19024,0.00704,11
302_lr_RL_1.2,105.38 kWh,11276,0.00606%,105.38,11276,0.00606,12
303_lr_RL_1.2,105.54 kWh,11563,0.00635%,105.54,11563,0.00635,13
304_lr_RL_1.2,192.79 kWh,23051,0.00710%,192.79,23051,0.0071,14
305_lr_RL_1.2,192.86 kWh,22949,0.00717%,192.86,22949,0.00717,15
306_lr_RL_1.2,140.64 kWh,16046,0.00689%,140.64,16046,0.00689,16
307_lr_RL_1.2,105.60 kWh,11254,0.00612%,105.6,11254,0.00612,17
308_lr_RL_1.2,148.91 kWh,18429,0.00716%,148.91,18429,0.00716,18
309_lr_RL_1.2,152.81 kWh,19180,0.00728%,152.81,19180,0.00728,19
310_lr_RL_1.2,129.46 kWh,15934,0.00717%,129.46,15934,0.00717,20
311_lr_RL_1.2,127.07 kWh,15749,0.00712%,127.07,15749,0.00712,21
312_lr_RL_1.2,105.24 kWh,10992,0.00599%,105.24,10992,0.00599,22
313_lr_RL_1.2,149.51 kWh,19321,0.00758%,149.51,19321,0.00758,23
314_lr_RL_1.2,129.78 kWh,15644,0.00739%,129.78,15644,0.00739,24
315_lr_RL_1.2,149.63 kWh,19521,0.00763%,149.63,19521,0.00763,25
316_lr_RL_1.2,152.46 kWh,18730,0.00692%,152.46,18730,0.00692,26
317_lr_RL_1.2,192.78 kWh,23409,0.00725%,192.78,23409,0.00725,27
318_lr_RL_1.2,140.61 kWh,15538,0.00678%,140.61,15538,0.00678,28
319_lr_RL_1.2,193.06 kWh,22951,0.00718%,193.06,22951,0.00718,29
320_lr_RL_1.2,140.56 kWh,16140,0.00695%,140.56,16140,0.00695,30
321_lr_RL_1.2,104.93 kWh,10581,0.00584%,104.93,10581,0.00584,31
