ExperimentName,Energy(KWh)_str,Migrations_str,SLA(%)_str,Energy(KWh),Migrations,SLA(%),Days
20110303_lr_RL_1.2,143.50 kWh,18074,0.00752%,143.5,18074,0.00752,1
20110306_lr_RL_1.2,107.15 kWh,13261,0.00698%,107.15,13261,0.00698,2
20110309_lr_RL_1.2,121.15 kWh,15560,0.00845%,121.15,15560,0.00845,3
20110322_lr_RL_1.2,151.09 kWh,22879,0.00811%,151.09,22879,0.00811,4
20110325_lr_RL_1.2,129.55 kWh,17851,0.00778%,129.55,17851,0.00778,5
20110403_lr_RL_1.2,195.95 kWh,27011,0.00777%,195.95,27011,0.00777,6
20110409_lr_RL_1.2,155.42 kWh,21850,0.00790%,155.42,21850,0.0079,7
20110411_lr_RL_1.2,151.60 kWh,21006,0.00780%,151.6,21006,0.0078,8
20110412_lr_RL_1.2,132.12 kWh,17717,0.00801%,132.12,17717,0.00801,9
300_lr_RL_1.2,120.43 kWh,14948,0.00839%,120.43,14948,0.00839,10
301_lr_RL_1.2,154.69 kWh,21190,0.00752%,154.69,21190,0.00752,11
302_lr_RL_1.2,106.76 kWh,12520,0.00647%,106.76,12520,0.00647,12
303_lr_RL_1.2,106.53 kWh,12378,0.00645%,106.53,12378,0.00645,13
304_lr_RL_1.2,195.13 kWh,25928,0.00763%,195.13,25928,0.00763,14
305_lr_RL_1.2,195.15 kWh,25766,0.00744%,195.15,25766,0.00744,15
306_lr_RL_1.2,142.00 kWh,17218,0.00713%,142.0,17218,0.00713,16
307_lr_RL_1.2,106.50 kWh,12493,0.00659%,106.5,12493,0.00659,17
308_lr_RL_1.2,151.43 kWh,21140,0.00769%,151.43,21140,0.00769,18
309_lr_RL_1.2,154.81 kWh,21303,0.00757%,154.81,21303,0.00757,19
310_lr_RL_1.2,131.74 kWh,17214,0.00761%,131.74,17214,0.00761,20
311_lr_RL_1.2,128.37 kWh,16672,0.00731%,128.37,16672,0.00731,21
312_lr_RL_1.2,106.23 kWh,12424,0.00642%,106.23,12424,0.00642,22
313_lr_RL_1.2,151.36 kWh,20652,0.00782%,151.36,20652,0.00782,23
314_lr_RL_1.2,130.96 kWh,16869,0.00750%,130.96,16869,0.0075,24
315_lr_RL_1.2,151.59 kWh,21207,0.00777%,151.59,21207,0.00777,25
316_lr_RL_1.2,154.20 kWh,20733,0.00735%,154.2,20733,0.00735,26
317_lr_RL_1.2,195.05 kWh,25937,0.00749%,195.05,25937,0.00749,27
318_lr_RL_1.2,141.88 kWh,17091,0.00707%,141.88,17091,0.00707,28
319_lr_RL_1.2,195.31 kWh,25808,0.00763%,195.31,25808,0.00763,29
320_lr_RL_1.2,141.54 kWh,16949,0.00691%,141.54,16949,0.00691,30
321_lr_RL_1.2,106.07 kWh,12133,0.00641%,106.07,12133,0.00641,31
