ExperimentName,Energy(KWh)_str,Migrations_str,SLA(%)_str,Energy(KWh),Migrations,SLA(%),Days
20110303_lr_RL_1.2,141.02 kWh,16263,0.00694%,141.02,16263,0.00694,1
20110306_lr_RL_1.2,105.91 kWh,11571,0.00618%,105.91,11571,0.00618,2
20110309_lr_RL_1.2,118.21 kWh,13407,0.00762%,118.21,13407,0.00762,3
20110322_lr_RL_1.2,147.54 kWh,20132,0.00761%,147.54,20132,0.00761,4
20110325_lr_RL_1.2,127.43 kWh,15726,0.00722%,127.43,15726,0.00722,5
20110403_lr_RL_1.2,193.53 kWh,24305,0.00750%,193.53,24305,0.0075,6
20110409_lr_RL_1.2,152.97 kWh,19886,0.00717%,152.97,19886,0.00717,7
20110411_lr_RL_1.2,149.98 kWh,19559,0.00755%,149.98,19559,0.00755,8
20110412_lr_RL_1.2,129.27 kWh,15643,0.00721%,129.27,15643,0.00721,9
300_lr_RL_1.2,119.23 kWh,14134,0.00818%,119.23,14134,0.00818,10
301_lr_RL_1.2,153.26 kWh,19814,0.00730%,153.26,19814,0.0073,11
302_lr_RL_1.2,105.46 kWh,11596,0.00623%,105.46,11596,0.00623,12
303_lr_RL_1.2,105.77 kWh,11415,0.00633%,105.77,11415,0.00633,13
304_lr_RL_1.2,193.48 kWh,23973,0.00733%,193.48,23973,0.00733,14
305_lr_RL_1.2,193.56 kWh,24347,0.00747%,193.56,24347,0.00747,15
306_lr_RL_1.2,140.68 kWh,16294,0.00686%,140.68,16294,0.00686,16
307_lr_RL_1.2,105.50 kWh,11568,0.00638%,105.5,11568,0.00638,17
308_lr_RL_1.2,149.62 kWh,19380,0.00745%,149.62,19380,0.00745,18
309_lr_RL_1.2,152.79 kWh,19726,0.00729%,152.79,19726,0.00729,19
310_lr_RL_1.2,129.91 kWh,16287,0.00734%,129.91,16287,0.00734,20
311_lr_RL_1.2,127.30 kWh,15875,0.00706%,127.3,15875,0.00706,21
312_lr_RL_1.2,106.07 kWh,11745,0.00660%,106.07,11745,0.0066,22
313_lr_RL_1.2,150.09 kWh,20028,0.00767%,150.09,20028,0.00767,23
314_lr_RL_1.2,129.58 kWh,15861,0.00720%,129.58,15861,0.0072,24
315_lr_RL_1.2,149.93 kWh,19717,0.00752%,149.93,19717,0.00752,25
316_lr_RL_1.2,152.51 kWh,18902,0.00701%,152.51,18902,0.00701,26
317_lr_RL_1.2,193.47 kWh,24236,0.00749%,193.47,24236,0.00749,27
318_lr_RL_1.2,140.34 kWh,15460,0.00662%,140.34,15460,0.00662,28
319_lr_RL_1.2,193.40 kWh,24072,0.00749%,193.4,24072,0.00749,29
320_lr_RL_1.2,140.21 kWh,15483,0.00661%,140.21,15483,0.00661,30
321_lr_RL_1.2,105.24 kWh,10705,0.00578%,105.24,10705,0.00578,31
