ExperimentName,Energy(KWh)_str,Migrations_str,SLA(%)_str,Energy(KWh),Migrations,SLA(%),Days
20110303_lr_RL_1.2,141.68 kWh,17452,0.00724%,141.68,17452,0.00724,1
20110306_lr_RL_1.2,106.16 kWh,12614,0.00645%,106.16,12614,0.00645,2
20110309_lr_RL_1.2,119.36 kWh,14129,0.00778%,119.36,14129,0.00778,3
20110322_lr_RL_1.2,149.34 kWh,21160,0.00757%,149.34,21160,0.00757,4
20110325_lr_RL_1.2,128.34 kWh,16821,0.00725%,128.34,16821,0.00725,5
20110403_lr_RL_1.2,196.02 kWh,26913,0.00777%,196.02,26913,0.00777,6
20110409_lr_RL_1.2,154.48 kWh,21249,0.00736%,154.48,21249,0.00736,7
20110411_lr_RL_1.2,151.40 kWh,21233,0.00784%,151.4,21233,0.00784,8
20110412_lr_RL_1.2,130.43 kWh,17097,0.00744%,130.43,17097,0.00744,9
300_lr_RL_1.2,119.17 kWh,14049,0.00754%,119.17,14049,0.00754,10
301_lr_RL_1.2,154.34 kWh,20987,0.00737%,154.34,20987,0.00737,11
302_lr_RL_1.2,106.32 kWh,12300,0.00646%,106.32,12300,0.00646,12
303_lr_RL_1.2,106.62 kWh,12567,0.00656%,106.62,12567,0.00656,13
304_lr_RL_1.2,194.27 kWh,25090,0.00727%,194.27,25090,0.00727,14
305_lr_RL_1.2,195.13 kWh,26465,0.00777%,195.13,26465,0.00777,15
306_lr_RL_1.2,141.57 kWh,17151,0.00697%,141.57,17151,0.00697,16
307_lr_RL_1.2,106.21 kWh,11997,0.00633%,106.21,11997,0.00633,17
308_lr_RL_1.2,150.93 kWh,20865,0.00769%,150.93,20865,0.00769,18
309_lr_RL_1.2,153.84 kWh,20993,0.00733%,153.84,20993,0.00733,19
310_lr_RL_1.2,130.29 kWh,17299,0.00759%,130.29,17299,0.00759,20
311_lr_RL_1.2,128.16 kWh,16424,0.00719%,128.16,16424,0.00719,21
312_lr_RL_1.2,106.29 kWh,12250,0.00635%,106.29,12250,0.00635,22
313_lr_RL_1.2,151.42 kWh,21148,0.00774%,151.42,21148,0.00774,23
314_lr_RL_1.2,130.60 kWh,16837,0.00734%,130.6,16837,0.00734,24
315_lr_RL_1.2,150.59 kWh,20806,0.00775%,150.59,20806,0.00775,25
316_lr_RL_1.2,154.20 kWh,20987,0.00741%,154.2,20987,0.00741,26
317_lr_RL_1.2,194.58 kWh,25790,0.00751%,194.58,25790,0.00751,27
318_lr_RL_1.2,141.58 kWh,17141,0.00694%,141.58,17141,0.00694,28
319_lr_RL_1.2,194.43 kWh,26083,0.00755%,194.43,26083,0.00755,29
320_lr_RL_1.2,141.33 kWh,17161,0.00701%,141.33,17161,0.00701,30
321_lr_RL_1.2,106.25 kWh,12162,0.00656%,106.25,12162,0.00656,31
