ExperimentName,Energy(KWh)_str,Migrations_str,SLA(%)_str,Energy(KWh),Migrations,SLA(%),Days
20110303_lr_RL_1.2,141.02 kWh,16169,0.00701%,141.02,16169,0.00701,1
20110306_lr_RL_1.2,105.88 kWh,11531,0.00622%,105.88,11531,0.00622,2
20110309_lr_RL_1.2,118.38 kWh,13157,0.00777%,118.38,13157,0.00777,3
20110322_lr_RL_1.2,147.97 kWh,20615,0.00781%,147.97,20615,0.00781,4
20110325_lr_RL_1.2,127.74 kWh,16080,0.00748%,127.74,16080,0.00748,5
20110403_lr_RL_1.2,193.65 kWh,24215,0.00760%,193.65,24215,0.0076,6
20110409_lr_RL_1.2,152.82 kWh,19344,0.00729%,152.82,19344,0.00729,7
20110411_lr_RL_1.2,150.16 kWh,19413,0.00743%,150.16,19413,0.00743,8
20110412_lr_RL_1.2,129.11 kWh,15233,0.00682%,129.11,15233,0.00682,9
300_lr_RL_1.2,118.48 kWh,12996,0.00750%,118.48,12996,0.0075,10
301_lr_RL_1.2,152.39 kWh,18529,0.00693%,152.39,18529,0.00693,11
302_lr_RL_1.2,105.45 kWh,11035,0.00607%,105.45,11035,0.00607,12
303_lr_RL_1.2,105.38 kWh,11354,0.00612%,105.38,11354,0.00612,13
304_lr_RL_1.2,193.23 kWh,23708,0.00727%,193.23,23708,0.00727,14
305_lr_RL_1.2,193.12 kWh,23816,0.00738%,193.12,23816,0.00738,15
306_lr_RL_1.2,141.19 kWh,16433,0.00718%,141.19,16433,0.00718,16
307_lr_RL_1.2,105.54 kWh,11413,0.00627%,105.54,11413,0.00627,17
308_lr_RL_1.2,149.07 kWh,18622,0.00737%,149.07,18622,0.00737,18
309_lr_RL_1.2,152.38 kWh,18614,0.00704%,152.38,18614,0.00704,19
310_lr_RL_1.2,129.25 kWh,15658,0.00715%,129.25,15658,0.00715,20
311_lr_RL_1.2,127.24 kWh,15773,0.00723%,127.24,15773,0.00723,21
312_lr_RL_1.2,105.47 kWh,11550,0.00631%,105.47,11550,0.00631,22
313_lr_RL_1.2,150.03 kWh,19955,0.00778%,150.03,19955,0.00778,23
314_lr_RL_1.2,128.80 kWh,15257,0.00703%,128.8,15257,0.00703,24
315_lr_RL_1.2,149.64 kWh,19386,0.00767%,149.64,19386,0.00767,25
316_lr_RL_1.2,152.15 kWh,18714,0.00704%,152.15,18714,0.00704,26
317_lr_RL_1.2,192.59 kWh,23094,0.00718%,192.59,23094,0.00718,27
318_lr_RL_1.2,140.76 kWh,16033,0.00686%,140.76,16033,0.00686,28
319_lr_RL_1.2,192.79 kWh,23251,0.00712%,192.79,23251,0.00712,29
320_lr_RL_1.2,140.31 kWh,15763,0.00683%,140.31,15763,0.00683,30
321_lr_RL_1.2,105.26 kWh,11079,0.00592%,105.26,11079,0.00592,31
