ExperimentName,Energy(KWh)_str,Migrations_str,SLA(%)_str,Energy(KWh),Migrations,SLA(%),Days
20110303_lr_RL_1.2,146.95 kWh,21465,0.00794%,146.95,21465,0.00794,1
20110306_lr_RL_1.2,110.27 kWh,15205,0.00728%,110.27,15205,0.00728,2
20110309_lr_RL_1.2,124.39 kWh,18060,0.00927%,124.39,18060,0.00927,3
20110322_lr_RL_1.2,157.18 kWh,25413,0.00828%,157.18,25413,0.00828,4
20110325_lr_RL_1.2,133.89 kWh,20457,0.00804%,133.89,20457,0.00804,5
20110403_lr_RL_1.2,204.13 kWh,31607,0.00825%,204.13,31607,0.00825,6
20110409_lr_RL_1.2,160.32 kWh,26079,0.00839%,160.32,26079,0.00839,7
20110411_lr_RL_1.2,156.45 kWh,24116,0.00827%,156.45,24116,0.00827,8
20110412_lr_RL_1.2,136.84 kWh,21193,0.00835%,136.84,21193,0.00835,9
300_lr_RL_1.2,123.97 kWh,17656,0.00892%,123.97,17656,0.00892,10
301_lr_RL_1.2,159.96 kWh,24990,0.00831%,159.96,24990,0.00831,11
302_lr_RL_1.2,110.59 kWh,15638,0.00774%,110.59,15638,0.00774,12
303_lr_RL_1.2,109.62 kWh,15381,0.00781%,109.62,15381,0.00781,13
304_lr_RL_1.2,202.19 kWh,30983,0.00822%,202.19,30983,0.00822,14
305_lr_RL_1.2,202.19 kWh,31742,0.00839%,202.19,31742,0.00839,15
306_lr_RL_1.2,145.69 kWh,21324,0.00795%,145.69,21324,0.00795,16
307_lr_RL_1.2,109.16 kWh,14690,0.00736%,109.16,14690,0.00736,17
308_lr_RL_1.2,155.52 kWh,24243,0.00847%,155.52,24243,0.00847,18
309_lr_RL_1.2,159.21 kWh,25143,0.00846%,159.21,25143,0.00846,19
310_lr_RL_1.2,135.81 kWh,20824,0.00825%,135.81,20824,0.00825,20
311_lr_RL_1.2,132.85 kWh,19633,0.00804%,132.85,19633,0.00804,21
312_lr_RL_1.2,108.98 kWh,15249,0.00733%,108.98,15249,0.00733,22
313_lr_RL_1.2,155.22 kWh,23991,0.00839%,155.22,23991,0.00839,23
314_lr_RL_1.2,135.12 kWh,20640,0.00842%,135.12,20640,0.00842,24
315_lr_RL_1.2,154.88 kWh,23493,0.00824%,154.88,23493,0.00824,25
316_lr_RL_1.2,158.57 kWh,24536,0.00825%,158.57,24536,0.00825,26
317_lr_RL_1.2,200.87 kWh,30601,0.00808%,200.87,30601,0.00808,27
318_lr_RL_1.2,145.47 kWh,20658,0.00759%,145.47,20658,0.00759,28
319_lr_RL_1.2,201.67 kWh,31747,0.00830%,201.67,31747,0.0083,29
320_lr_RL_1.2,145.21 kWh,20728,0.00779%,145.21,20728,0.00779,30
321_lr_RL_1.2,109.32 kWh,15049,0.00740%,109.32,15049,0.0074,31
