ExperimentName,Energy(KWh)_str,Migrations_str,SLA(%)_str,Energy(KWh),Migrations,SLA(%),Days
20110303_lr_RL_1.2,147.06 kWh,21205,0.00775%,147.06,21205,0.00775,1
20110306_lr_RL_1.2,111.92 kWh,16059,0.00767%,111.92,16059,0.00767,2
20110309_lr_RL_1.2,127.29 kWh,18893,0.00908%,127.29,18893,0.00908,3
20110322_lr_RL_1.2,163.75 kWh,28044,0.00822%,163.75,28044,0.00822,4
20110325_lr_RL_1.2,141.22 kWh,22446,0.00814%,141.22,22446,0.00814,5
20110403_lr_RL_1.2,213.05 kWh,34525,0.00817%,213.05,34525,0.00817,6
20110409_lr_RL_1.2,169.64 kWh,27575,0.00807%,169.64,27575,0.00807,7
20110411_lr_RL_1.2,167.32 kWh,27700,0.00842%,167.32,27700,0.00842,8
20110412_lr_RL_1.2,147.05 kWh,24407,0.00852%,147.05,24407,0.00852,9
300_lr_RL_1.2,134.32 kWh,20573,0.00928%,134.32,20573,0.00928,10
301_lr_RL_1.2,174.50 kWh,28537,0.00812%,174.5,28537,0.00812,11
302_lr_RL_1.2,118.88 kWh,18323,0.00809%,118.88,18323,0.00809,12
303_lr_RL_1.2,118.59 kWh,18299,0.00819%,118.59,18299,0.00819,13
304_lr_RL_1.2,220.55 kWh,36362,0.00825%,220.55,36362,0.00825,14
305_lr_RL_1.2,220.68 kWh,36804,0.00826%,220.68,36804,0.00826,15
306_lr_RL_1.2,159.75 kWh,24558,0.00803%,159.75,24558,0.00803,16
307_lr_RL_1.2,119.42 kWh,18792,0.00835%,119.42,18792,0.00835,17
308_lr_RL_1.2,173.27 kWh,29088,0.00829%,173.27,29088,0.00829,18
309_lr_RL_1.2,174.70 kWh,28569,0.00811%,174.7,28569,0.00811,19
310_lr_RL_1.2,149.56 kWh,24914,0.00859%,149.56,24914,0.00859,20
311_lr_RL_1.2,148.15 kWh,24772,0.00840%,148.15,24772,0.0084,21
312_lr_RL_1.2,119.61 kWh,17854,0.00794%,119.61,17854,0.00794,22
313_lr_RL_1.2,173.38 kWh,28944,0.00842%,173.38,28944,0.00842,23
314_lr_RL_1.2,149.24 kWh,24486,0.00812%,149.24,24486,0.00812,24
315_lr_RL_1.2,174.87 kWh,28946,0.00851%,174.87,28946,0.00851,25
316_lr_RL_1.2,176.14 kWh,28793,0.00795%,176.14,28793,0.00795,26
317_lr_RL_1.2,221.32 kWh,36467,0.00815%,221.32,36467,0.00815,27
318_lr_RL_1.2,161.74 kWh,25591,0.00839%,161.74,25591,0.00839,28
319_lr_RL_1.2,223.57 kWh,37419,0.00812%,223.57,37419,0.00812,29
320_lr_RL_1.2,165.22 kWh,26277,0.00799%,165.22,26277,0.00799,30
321_lr_RL_1.2,125.89 kWh,20375,0.00814%,125.89,20375,0.00814,31
