ExperimentName,Energy(KWh)_str,Migrations_str,SLA(%)_str,Energy(KWh),Migrations,SLA(%),Days
20110303_lr_RL_1.2,145.36 kWh,19403,0.00760%,145.36,19403,0.0076,1
20110306_lr_RL_1.2,107.18 kWh,13016,0.00705%,107.18,13016,0.00705,2
20110309_lr_RL_1.2,120.36 kWh,15054,0.00833%,120.36,15054,0.00833,3
20110322_lr_RL_1.2,149.77 kWh,22147,0.00814%,149.77,22147,0.00814,4
20110325_lr_RL_1.2,128.25 kWh,16282,0.00724%,128.25,16282,0.00724,5
20110403_lr_RL_1.2,195.37 kWh,25257,0.00758%,195.37,25257,0.00758,6
20110409_lr_RL_1.2,153.86 kWh,20249,0.00754%,153.86,20249,0.00754,7
20110411_lr_RL_1.2,150.59 kWh,20069,0.00762%,150.59,20069,0.00762,8
20110412_lr_RL_1.2,131.17 kWh,17118,0.00759%,131.17,17118,0.00759,9
300_lr_RL_1.2,119.09 kWh,13860,0.00799%,119.09,13860,0.00799,10
301_lr_RL_1.2,153.86 kWh,19987,0.00738%,153.86,19987,0.00738,11
302_lr_RL_1.2,106.20 kWh,12232,0.00650%,106.2,12232,0.0065,12
303_lr_RL_1.2,106.44 kWh,11690,0.00639%,106.44,11690,0.00639,13
304_lr_RL_1.2,194.14 kWh,24780,0.00748%,194.14,24780,0.00748,14
305_lr_RL_1.2,194.59 kWh,24443,0.00751%,194.59,24443,0.00751,15
306_lr_RL_1.2,140.70 kWh,15864,0.00665%,140.7,15864,0.00665,16
307_lr_RL_1.2,106.15 kWh,11891,0.00645%,106.15,11891,0.00645,17
308_lr_RL_1.2,150.18 kWh,19855,0.00768%,150.18,19855,0.00768,18
309_lr_RL_1.2,153.35 kWh,19231,0.00723%,153.35,19231,0.00723,19
310_lr_RL_1.2,130.56 kWh,16390,0.00743%,130.56,16390,0.00743,20
311_lr_RL_1.2,127.73 kWh,16029,0.00745%,127.73,16029,0.00745,21
312_lr_RL_1.2,106.16 kWh,11621,0.00634%,106.16,11621,0.00634,22
313_lr_RL_1.2,149.99 kWh,19620,0.00770%,149.99,19620,0.0077,23
314_lr_RL_1.2,130.56 kWh,16360,0.00743%,130.56,16360,0.00743,24
315_lr_RL_1.2,150.19 kWh,19507,0.00752%,150.19,19507,0.00752,25
316_lr_RL_1.2,152.86 kWh,19204,0.00698%,152.86,19204,0.00698,26
317_lr_RL_1.2,193.95 kWh,24053,0.00738%,193.95,24053,0.00738,27
318_lr_RL_1.2,141.10 kWh,15835,0.00667%,141.1,15835,0.00667,28
319_lr_RL_1.2,193.75 kWh,24226,0.00739%,193.75,24226,0.00739,29
320_lr_RL_1.2,140.75 kWh,16107,0.00699%,140.75,16107,0.00699,30
321_lr_RL_1.2,106.08 kWh,11803,0.00645%,106.08,11803,0.00645,31
