ExperimentName,Energy(KWh)_str,Migrations_str,SLA(%)_str,Energy(KWh),Migrations,SLA(%),Days
20110303_lr_RL_1.2,141.47 kWh,16696,0.00708%,141.47,16696,0.00708,1
20110306_lr_RL_1.2,106.61 kWh,12214,0.00660%,106.61,12214,0.0066,2
20110309_lr_RL_1.2,119.65 kWh,14753,0.00830%,119.65,14753,0.0083,3
20110322_lr_RL_1.2,149.40 kWh,21147,0.00796%,149.4,21147,0.00796,4
20110325_lr_RL_1.2,128.14 kWh,16327,0.00734%,128.14,16327,0.00734,5
20110403_lr_RL_1.2,193.80 kWh,24715,0.00726%,193.8,24715,0.00726,6
20110409_lr_RL_1.2,153.83 kWh,20287,0.00734%,153.83,20287,0.00734,7
20110411_lr_RL_1.2,151.00 kWh,20220,0.00777%,151.0,20220,0.00777,8
20110412_lr_RL_1.2,130.17 kWh,16650,0.00748%,130.17,16650,0.00748,9
300_lr_RL_1.2,118.75 kWh,13735,0.00779%,118.75,13735,0.00779,10
301_lr_RL_1.2,153.48 kWh,19581,0.00709%,153.48,19581,0.00709,11
302_lr_RL_1.2,106.13 kWh,12124,0.00656%,106.13,12124,0.00656,12
303_lr_RL_1.2,106.11 kWh,11895,0.00636%,106.11,11895,0.00636,13
304_lr_RL_1.2,193.73 kWh,24054,0.00739%,193.73,24054,0.00739,14
305_lr_RL_1.2,193.71 kWh,24062,0.00708%,193.71,24062,0.00708,15
306_lr_RL_1.2,141.44 kWh,16466,0.00685%,141.44,16466,0.00685,16
307_lr_RL_1.2,105.73 kWh,11896,0.00626%,105.73,11896,0.00626,17
308_lr_RL_1.2,150.16 kWh,19916,0.00752%,150.16,19916,0.00752,18
309_lr_RL_1.2,153.39 kWh,19906,0.00742%,153.39,19906,0.00742,19
310_lr_RL_1.2,129.56 kWh,16312,0.00733%,129.56,16312,0.00733,20
311_lr_RL_1.2,127.59 kWh,16063,0.00731%,127.59,16063,0.00731,21
312_lr_RL_1.2,105.88 kWh,11677,0.00624%,105.88,11677,0.00624,22
313_lr_RL_1.2,150.37 kWh,20076,0.00763%,150.37,20076,0.00763,23
314_lr_RL_1.2,129.59 kWh,15758,0.00699%,129.59,15758,0.00699,24
315_lr_RL_1.2,149.92 kWh,19785,0.00754%,149.92,19785,0.00754,25
316_lr_RL_1.2,153.10 kWh,19628,0.00713%,153.1,19628,0.00713,26
317_lr_RL_1.2,193.54 kWh,23906,0.00727%,193.54,23906,0.00727,27
318_lr_RL_1.2,141.09 kWh,16198,0.00671%,141.09,16198,0.00671,28
319_lr_RL_1.2,193.83 kWh,24597,0.00726%,193.83,24597,0.00726,29
320_lr_RL_1.2,140.81 kWh,16354,0.00679%,140.81,16354,0.00679,30
321_lr_RL_1.2,105.66 kWh,11360,0.00607%,105.66,11360,0.00607,31
