ExperimentName,Energy(KWh)_str,Migrations_str,SLA(%)_str,Energy(KWh),Migrations,SLA(%),Days
20110303_lr_RL_1.2,144.90 kWh,19882,0.00762%,144.9,19882,0.00762,1
20110306_lr_RL_1.2,108.33 kWh,13782,0.00701%,108.33,13782,0.00701,2
20110309_lr_RL_1.2,121.89 kWh,16076,0.00855%,121.89,16076,0.00855,3
20110322_lr_RL_1.2,153.06 kWh,23868,0.00819%,153.06,23868,0.00819,4
20110325_lr_RL_1.2,130.96 kWh,19217,0.00787%,130.96,19217,0.00787,5
20110403_lr_RL_1.2,198.19 kWh,28824,0.00795%,198.19,28824,0.00795,6
20110409_lr_RL_1.2,156.62 kWh,22741,0.00789%,156.62,22741,0.00789,7
20110411_lr_RL_1.2,152.72 kWh,21782,0.00787%,152.72,21782,0.00787,8
20110412_lr_RL_1.2,132.65 kWh,18366,0.00769%,132.65,18366,0.00769,9
300_lr_RL_1.2,121.23 kWh,15140,0.00839%,121.23,15140,0.00839,10
301_lr_RL_1.2,155.09 kWh,21764,0.00765%,155.09,21764,0.00765,11
302_lr_RL_1.2,107.41 kWh,13161,0.00687%,107.41,13161,0.00687,12
303_lr_RL_1.2,107.08 kWh,13340,0.00671%,107.08,13340,0.00671,13
304_lr_RL_1.2,197.17 kWh,27681,0.00774%,197.17,27681,0.00774,14
305_lr_RL_1.2,196.60 kWh,27964,0.00777%,196.6,27964,0.00777,15
306_lr_RL_1.2,142.46 kWh,17924,0.00712%,142.46,17924,0.00712,16
307_lr_RL_1.2,106.91 kWh,12896,0.00656%,106.91,12896,0.00656,17
308_lr_RL_1.2,152.51 kWh,22108,0.00806%,152.51,22108,0.00806,18
309_lr_RL_1.2,154.70 kWh,21178,0.00739%,154.7,21178,0.00739,19
310_lr_RL_1.2,131.13 kWh,17539,0.00749%,131.13,17539,0.00749,20
311_lr_RL_1.2,128.79 kWh,17444,0.00745%,128.79,17444,0.00745,21
312_lr_RL_1.2,106.71 kWh,12694,0.00642%,106.71,12694,0.00642,22
313_lr_RL_1.2,151.77 kWh,20971,0.00782%,151.77,20971,0.00782,23
314_lr_RL_1.2,131.95 kWh,18462,0.00782%,131.95,18462,0.00782,24
315_lr_RL_1.2,152.36 kWh,21202,0.00803%,152.36,21202,0.00803,25
316_lr_RL_1.2,154.38 kWh,20837,0.00729%,154.38,20837,0.00729,26
317_lr_RL_1.2,196.56 kWh,27495,0.00770%,196.56,27495,0.0077,27
318_lr_RL_1.2,142.22 kWh,17316,0.00705%,142.22,17316,0.00705,28
319_lr_RL_1.2,196.62 kWh,27016,0.00761%,196.62,27016,0.00761,29
320_lr_RL_1.2,142.67 kWh,18055,0.00741%,142.67,18055,0.00741,30
321_lr_RL_1.2,106.90 kWh,13257,0.00686%,106.9,13257,0.00686,31
