ExperimentName,Energy(KWh)_str,Migrations_str,SLA(%)_str,Energy(KWh),Migrations,SLA(%),Days
20110303_lr_RL_1.2,141.68 kWh,16825,0.00714%,141.68,16825,0.00714,1
20110306_lr_RL_1.2,105.91 kWh,11925,0.00623%,105.91,11925,0.00623,2
20110309_lr_RL_1.2,119.06 kWh,14082,0.00784%,119.06,14082,0.00784,3
20110322_lr_RL_1.2,149.78 kWh,21864,0.00817%,149.78,21864,0.00817,4
20110325_lr_RL_1.2,127.91 kWh,16331,0.00753%,127.91,16331,0.00753,5
20110403_lr_RL_1.2,194.49 kWh,25274,0.00764%,194.49,25274,0.00764,6
20110409_lr_RL_1.2,153.70 kWh,20373,0.00742%,153.7,20373,0.00742,7
20110411_lr_RL_1.2,150.79 kWh,19918,0.00774%,150.79,19918,0.00774,8
20110412_lr_RL_1.2,130.53 kWh,16579,0.00729%,130.53,16579,0.00729,9
300_lr_RL_1.2,118.68 kWh,13572,0.00763%,118.68,13572,0.00763,10
301_lr_RL_1.2,152.79 kWh,19420,0.00691%,152.79,19420,0.00691,11
302_lr_RL_1.2,106.08 kWh,12215,0.00651%,106.08,12215,0.00651,12
303_lr_RL_1.2,105.72 kWh,11866,0.00627%,105.72,11866,0.00627,13
304_lr_RL_1.2,193.75 kWh,24849,0.00762%,193.75,24849,0.00762,14
305_lr_RL_1.2,194.28 kWh,25133,0.00754%,194.28,25133,0.00754,15
306_lr_RL_1.2,141.53 kWh,16994,0.00717%,141.53,16994,0.00717,16
307_lr_RL_1.2,105.86 kWh,11777,0.00628%,105.86,11777,0.00628,17
308_lr_RL_1.2,150.78 kWh,20392,0.00765%,150.78,20392,0.00765,18
309_lr_RL_1.2,153.31 kWh,19939,0.00723%,153.31,19939,0.00723,19
310_lr_RL_1.2,129.75 kWh,16227,0.00738%,129.75,16227,0.00738,20
311_lr_RL_1.2,127.11 kWh,15737,0.00709%,127.11,15737,0.00709,21
312_lr_RL_1.2,105.69 kWh,11708,0.00614%,105.69,11708,0.00614,22
313_lr_RL_1.2,150.47 kWh,20193,0.00764%,150.47,20193,0.00764,23
314_lr_RL_1.2,129.85 kWh,16114,0.00723%,129.85,16114,0.00723,24
315_lr_RL_1.2,150.30 kWh,20617,0.00774%,150.3,20617,0.00774,25
316_lr_RL_1.2,152.29 kWh,19104,0.00698%,152.29,19104,0.00698,26
317_lr_RL_1.2,193.19 kWh,23856,0.00728%,193.19,23856,0.00728,27
318_lr_RL_1.2,141.43 kWh,16930,0.00716%,141.43,16930,0.00716,28
319_lr_RL_1.2,193.54 kWh,24297,0.00736%,193.54,24297,0.00736,29
320_lr_RL_1.2,141.39 kWh,16569,0.00693%,141.39,16569,0.00693,30
321_lr_RL_1.2,105.67 kWh,11444,0.00617%,105.67,11444,0.00617,31
