ExperimentName,Energy(KWh)_str,Migrations_str,SLA(%)_str,Energy(KWh),Migrations,SLA(%),Days
20110303_lr_RL_1.2,141.18 kWh,16587,0.00687%,141.18,16587,0.00687,1
20110306_lr_RL_1.2,106.28 kWh,12270,0.00655%,106.28,12270,0.00655,2
20110309_lr_RL_1.2,118.91 kWh,13710,0.00774%,118.91,13710,0.00774,3
20110322_lr_RL_1.2,149.11 kWh,21489,0.00804%,149.11,21489,0.00804,4
20110325_lr_RL_1.2,128.29 kWh,16385,0.00726%,128.29,16385,0.00726,5
20110403_lr_RL_1.2,194.33 kWh,25311,0.00773%,194.33,25311,0.00773,6
20110409_lr_RL_1.2,152.97 kWh,19745,0.00721%,152.97,19745,0.00721,7
20110411_lr_RL_1.2,151.11 kWh,20959,0.00796%,151.11,20959,0.00796,8
20110412_lr_RL_1.2,130.38 kWh,16462,0.00738%,130.38,16462,0.00738,9
300_lr_RL_1.2,118.77 kWh,13481,0.00756%,118.77,13481,0.00756,10
301_lr_RL_1.2,153.64 kWh,20027,0.00735%,153.64,20027,0.00735,11
302_lr_RL_1.2,105.88 kWh,12077,0.00632%,105.88,12077,0.00632,12
303_lr_RL_1.2,106.25 kWh,12022,0.00644%,106.25,12022,0.00644,13
304_lr_RL_1.2,193.90 kWh,24520,0.00743%,193.9,24520,0.00743,14
305_lr_RL_1.2,194.08 kWh,24638,0.00742%,194.08,24638,0.00742,15
306_lr_RL_1.2,140.75 kWh,16223,0.00679%,140.75,16223,0.00679,16
307_lr_RL_1.2,106.03 kWh,11881,0.00648%,106.03,11881,0.00648,17
308_lr_RL_1.2,150.00 kWh,19910,0.00753%,150.0,19910,0.00753,18
309_lr_RL_1.2,153.36 kWh,20251,0.00731%,153.36,20251,0.00731,19
310_lr_RL_1.2,130.72 kWh,17178,0.00772%,130.72,17178,0.00772,20
311_lr_RL_1.2,126.90 kWh,15587,0.00698%,126.9,15587,0.00698,21
312_lr_RL_1.2,106.04 kWh,12329,0.00662%,106.04,12329,0.00662,22
313_lr_RL_1.2,150.27 kWh,19704,0.00752%,150.27,19704,0.00752,23
314_lr_RL_1.2,129.79 kWh,15957,0.00705%,129.79,15957,0.00705,24
315_lr_RL_1.2,150.76 kWh,20687,0.00762%,150.76,20687,0.00762,25
316_lr_RL_1.2,153.00 kWh,19974,0.00719%,153.0,19974,0.00719,26
317_lr_RL_1.2,193.20 kWh,24041,0.00715%,193.2,24041,0.00715,27
318_lr_RL_1.2,141.28 kWh,16311,0.00673%,141.28,16311,0.00673,28
319_lr_RL_1.2,194.07 kWh,25022,0.00751%,194.07,25022,0.00751,29
320_lr_RL_1.2,141.56 kWh,16709,0.00705%,141.56,16709,0.00705,30
321_lr_RL_1.2,105.99 kWh,11992,0.00640%,105.99,11992,0.0064,31
