ExperimentName,Energy(KWh)_str,Migrations_str,SLA(%)_str,Energy(KWh),Migrations,SLA(%),Days
20110303_lr_RL_1.2,152.85 kWh,23777,0.00794%,152.85,23777,0.00794,1
20110306_lr_RL_1.2,116.95 kWh,18471,0.00800%,116.95,18471,0.008,2
20110309_lr_RL_1.2,133.74 kWh,20894,0.00913%,133.74,20894,0.00913,3
20110322_lr_RL_1.2,167.66 kWh,28052,0.00777%,167.66,28052,0.00777,4
20110325_lr_RL_1.2,143.73 kWh,23500,0.00784%,143.73,23500,0.00784,5
20110403_lr_RL_1.2,217.23 kWh,36081,0.00760%,217.23,36081,0.0076,6
20110409_lr_RL_1.2,173.20 kWh,28452,0.00762%,173.2,28452,0.00762,7
20110411_lr_RL_1.2,169.55 kWh,28182,0.00794%,169.55,28182,0.00794,8
20110412_lr_RL_1.2,149.41 kWh,24475,0.00792%,149.41,24475,0.00792,9
300_lr_RL_1.2,136.09 kWh,21543,0.00929%,136.09,21543,0.00929,10
301_lr_RL_1.2,176.01 kWh,29494,0.00787%,176.01,29494,0.00787,11
302_lr_RL_1.2,120.64 kWh,19162,0.00762%,120.64,19162,0.00762,12
303_lr_RL_1.2,120.11 kWh,18869,0.00773%,120.11,18869,0.00773,13
304_lr_RL_1.2,223.62 kWh,36573,0.00762%,223.62,36573,0.00762,14
305_lr_RL_1.2,222.74 kWh,37127,0.00775%,222.74,37127,0.00775,15
306_lr_RL_1.2,160.95 kWh,26186,0.00775%,160.95,26186,0.00775,16
307_lr_RL_1.2,122.00 kWh,19795,0.00798%,122.0,19795,0.00798,17
308_lr_RL_1.2,173.01 kWh,28679,0.00787%,173.01,28679,0.00787,18
309_lr_RL_1.2,177.60 kWh,29824,0.00774%,177.6,29824,0.00774,19
310_lr_RL_1.2,151.71 kWh,24351,0.00767%,151.71,24351,0.00767,20
311_lr_RL_1.2,149.12 kWh,24553,0.00781%,149.12,24553,0.00781,21
312_lr_RL_1.2,121.15 kWh,19235,0.00770%,121.15,19235,0.0077,22
313_lr_RL_1.2,175.33 kWh,28959,0.00789%,175.33,28959,0.00789,23
314_lr_RL_1.2,153.57 kWh,24801,0.00776%,153.57,24801,0.00776,24
315_lr_RL_1.2,174.07 kWh,28896,0.00780%,174.07,28896,0.0078,25
316_lr_RL_1.2,179.72 kWh,30113,0.00758%,179.72,30113,0.00758,26
317_lr_RL_1.2,225.74 kWh,37127,0.00755%,225.74,37127,0.00755,27
318_lr_RL_1.2,163.69 kWh,25732,0.00763%,163.69,25732,0.00763,28
319_lr_RL_1.2,226.17 kWh,37073,0.00749%,226.17,37073,0.00749,29
320_lr_RL_1.2,163.88 kWh,25902,0.00746%,163.88,25902,0.00746,30
321_lr_RL_1.2,122.41 kWh,19658,0.00775%,122.41,19658,0.00775,31
