ExperimentName,Energy(KWh)_str,Migrations_str,SLA(%)_str,Energy(KWh),Migrations,SLA(%),Days
20110303_lr_RL_1.2,145.75 kWh,20224,0.00782%,145.75,20224,0.00782,1
20110306_lr_RL_1.2,109.34 kWh,14245,0.00747%,109.34,14245,0.00747,2
20110309_lr_RL_1.2,123.03 kWh,16412,0.00888%,123.03,16412,0.00888,3
20110322_lr_RL_1.2,154.00 kWh,24496,0.00843%,154.0,24496,0.00843,4
20110325_lr_RL_1.2,131.25 kWh,19497,0.00811%,131.25,19497,0.00811,5
20110403_lr_RL_1.2,199.76 kWh,29911,0.00825%,199.76,29911,0.00825,6
20110409_lr_RL_1.2,156.72 kWh,22882,0.00804%,156.72,22882,0.00804,7
20110411_lr_RL_1.2,154.81 kWh,23509,0.00854%,154.81,23509,0.00854,8
20110412_lr_RL_1.2,133.38 kWh,18616,0.00797%,133.38,18616,0.00797,9
300_lr_RL_1.2,121.78 kWh,16158,0.00893%,121.78,16158,0.00893,10
301_lr_RL_1.2,156.62 kWh,22977,0.00811%,156.62,22977,0.00811,11
302_lr_RL_1.2,108.01 kWh,13560,0.00717%,108.01,13560,0.00717,12
303_lr_RL_1.2,107.91 kWh,13527,0.00706%,107.91,13527,0.00706,13
304_lr_RL_1.2,198.04 kWh,28578,0.00804%,198.04,28578,0.00804,14
305_lr_RL_1.2,198.46 kWh,28893,0.00806%,198.46,28893,0.00806,15
306_lr_RL_1.2,143.78 kWh,18891,0.00766%,143.78,18891,0.00766,16
307_lr_RL_1.2,107.71 kWh,13231,0.00677%,107.71,13231,0.00677,17
308_lr_RL_1.2,153.25 kWh,22111,0.00787%,153.25,22111,0.00787,18
309_lr_RL_1.2,155.85 kWh,22066,0.00779%,155.85,22066,0.00779,19
310_lr_RL_1.2,132.11 kWh,18413,0.00781%,132.11,18413,0.00781,20
311_lr_RL_1.2,130.21 kWh,18528,0.00769%,130.21,18528,0.00769,21
312_lr_RL_1.2,106.95 kWh,12562,0.00651%,106.95,12562,0.00651,22
313_lr_RL_1.2,152.81 kWh,21511,0.00802%,152.81,21511,0.00802,23
314_lr_RL_1.2,132.70 kWh,18487,0.00782%,132.7,18487,0.00782,24
315_lr_RL_1.2,153.07 kWh,22585,0.00821%,153.07,22585,0.00821,25
316_lr_RL_1.2,154.72 kWh,21726,0.00767%,154.72,21726,0.00767,26
317_lr_RL_1.2,197.58 kWh,28362,0.00810%,197.58,28362,0.0081,27
318_lr_RL_1.2,142.97 kWh,18601,0.00725%,142.97,18601,0.00725,28
319_lr_RL_1.2,196.96 kWh,27887,0.00792%,196.96,27887,0.00792,29
320_lr_RL_1.2,143.29 kWh,18581,0.00745%,143.29,18581,0.00745,30
321_lr_RL_1.2,107.74 kWh,13572,0.00709%,107.74,13572,0.00709,31
