ExperimentName,Energy(KWh)_str,Migrations_str,SLA(%)_str,Energy(KWh),Migrations,SLA(%),Days
20110303_lr_RL_1.2,150.19 kWh,22673,0.00824%,150.19,22673,0.00824,1
20110306_lr_RL_1.2,114.44 kWh,17745,0.00798%,114.44,17745,0.00798,2
20110309_lr_RL_1.2,131.42 kWh,20589,0.00964%,131.42,20589,0.00964,3
20110322_lr_RL_1.2,166.00 kWh,27814,0.00815%,166.0,27814,0.00815,4
20110325_lr_RL_1.2,142.92 kWh,23214,0.00828%,142.92,23214,0.00828,5
20110403_lr_RL_1.2,217.48 kWh,35790,0.00816%,217.48,35790,0.00816,6
20110409_lr_RL_1.2,172.75 kWh,28666,0.00812%,172.75,28666,0.00812,7
20110411_lr_RL_1.2,169.94 kWh,28193,0.00838%,169.94,28193,0.00838,8
20110412_lr_RL_1.2,147.93 kWh,24198,0.00821%,147.93,24198,0.00821,9
300_lr_RL_1.2,134.57 kWh,21138,0.00932%,134.57,21138,0.00932,10
301_lr_RL_1.2,173.34 kWh,28667,0.00818%,173.34,28667,0.00818,11
302_lr_RL_1.2,119.27 kWh,18600,0.00801%,119.27,18600,0.00801,12
303_lr_RL_1.2,119.55 kWh,18515,0.00811%,119.55,18515,0.00811,13
304_lr_RL_1.2,220.21 kWh,36166,0.00807%,220.21,36166,0.00807,14
305_lr_RL_1.2,220.53 kWh,36642,0.00806%,220.53,36642,0.00806,15
306_lr_RL_1.2,159.44 kWh,25200,0.00821%,159.44,25200,0.00821,16
307_lr_RL_1.2,118.65 kWh,18259,0.00810%,118.65,18259,0.0081,17
308_lr_RL_1.2,172.62 kWh,28778,0.00844%,172.62,28778,0.00844,18
309_lr_RL_1.2,173.71 kWh,29008,0.00821%,173.71,29008,0.00821,19
310_lr_RL_1.2,148.96 kWh,24484,0.00835%,148.96,24484,0.00835,20
311_lr_RL_1.2,147.87 kWh,23859,0.00840%,147.87,23859,0.0084,21
312_lr_RL_1.2,119.90 kWh,18867,0.00827%,119.9,18867,0.00827,22
313_lr_RL_1.2,172.18 kWh,28798,0.00855%,172.18,28798,0.00855,23
314_lr_RL_1.2,150.51 kWh,24857,0.00835%,150.51,24857,0.00835,24
315_lr_RL_1.2,171.85 kWh,28843,0.00824%,171.85,28843,0.00824,25
316_lr_RL_1.2,174.98 kWh,29078,0.00820%,174.98,29078,0.0082,26
317_lr_RL_1.2,221.20 kWh,36497,0.00819%,221.2,36497,0.00819,27
318_lr_RL_1.2,162.01 kWh,25887,0.00859%,162.01,25887,0.00859,28
319_lr_RL_1.2,222.28 kWh,36527,0.00819%,222.28,36527,0.00819,29
320_lr_RL_1.2,161.61 kWh,25795,0.00847%,161.61,25795,0.00847,30
321_lr_RL_1.2,120.58 kWh,19214,0.00863%,120.58,19214,0.00863,31
