ExperimentName,Energy(KWh)_str,Migrations_str,SLA(%)_str,Energy(KWh),Migrations,SLA(%),Days
20110303_lr_RL_1.2,141.60 kWh,17219,0.00695%,141.6,17219,0.00695,1
20110306_lr_RL_1.2,106.27 kWh,12155,0.00658%,106.27,12155,0.00658,2
20110309_lr_RL_1.2,119.64 kWh,14377,0.00801%,119.64,14377,0.00801,3
20110322_lr_RL_1.2,149.56 kWh,21849,0.00802%,149.56,21849,0.00802,4
20110325_lr_RL_1.2,128.05 kWh,16586,0.00736%,128.05,16586,0.00736,5
20110403_lr_RL_1.2,194.90 kWh,25862,0.00768%,194.9,25862,0.00768,6
20110409_lr_RL_1.2,153.63 kWh,20675,0.00741%,153.63,20675,0.00741,7
20110411_lr_RL_1.2,150.93 kWh,20425,0.00777%,150.93,20425,0.00777,8
20110412_lr_RL_1.2,130.45 kWh,16426,0.00736%,130.45,16426,0.00736,9
300_lr_RL_1.2,119.11 kWh,14028,0.00790%,119.11,14028,0.0079,10
301_lr_RL_1.2,153.37 kWh,19890,0.00709%,153.37,19890,0.00709,11
302_lr_RL_1.2,105.92 kWh,11806,0.00638%,105.92,11806,0.00638,12
303_lr_RL_1.2,106.23 kWh,12153,0.00648%,106.23,12153,0.00648,13
304_lr_RL_1.2,194.33 kWh,24927,0.00762%,194.33,24927,0.00762,14
305_lr_RL_1.2,194.51 kWh,25029,0.00762%,194.51,25029,0.00762,15
306_lr_RL_1.2,141.34 kWh,16388,0.00688%,141.34,16388,0.00688,16
307_lr_RL_1.2,106.39 kWh,12372,0.00676%,106.39,12372,0.00676,17
308_lr_RL_1.2,151.07 kWh,20252,0.00772%,151.07,20252,0.00772,18
309_lr_RL_1.2,153.16 kWh,19672,0.00713%,153.16,19672,0.00713,19
310_lr_RL_1.2,130.22 kWh,16506,0.00713%,130.22,16506,0.00713,20
311_lr_RL_1.2,127.74 kWh,16762,0.00734%,127.74,16762,0.00734,21
312_lr_RL_1.2,106.02 kWh,11533,0.00583%,106.02,11533,0.00583,22
313_lr_RL_1.2,150.30 kWh,20035,0.00779%,150.3,20035,0.00779,23
314_lr_RL_1.2,129.81 kWh,15914,0.00713%,129.81,15914,0.00713,24
315_lr_RL_1.2,149.90 kWh,19629,0.00755%,149.9,19629,0.00755,25
316_lr_RL_1.2,153.27 kWh,19446,0.00704%,153.27,19446,0.00704,26
317_lr_RL_1.2,193.88 kWh,24824,0.00736%,193.88,24824,0.00736,27
318_lr_RL_1.2,140.91 kWh,16376,0.00672%,140.91,16376,0.00672,28
319_lr_RL_1.2,194.12 kWh,24345,0.00737%,194.12,24345,0.00737,29
320_lr_RL_1.2,141.28 kWh,16382,0.00692%,141.28,16382,0.00692,30
321_lr_RL_1.2,106.09 kWh,12034,0.00634%,106.09,12034,0.00634,31
