ExperimentName,Energy(KWh)_str,Migrations_str,SLA(%)_str,Energy(KWh),Migrations,SLA(%),Days
20110303_lr_RL_1.2,148.69 kWh,22410,0.00795%,148.69,22410,0.00795,1
20110306_lr_RL_1.2,111.13 kWh,16312,0.00764%,111.13,16312,0.00764,2
20110309_lr_RL_1.2,126.22 kWh,19142,0.00944%,126.22,19142,0.00944,3
20110322_lr_RL_1.2,157.68 kWh,26610,0.00833%,157.68,26610,0.00833,4
20110325_lr_RL_1.2,134.90 kWh,20450,0.00774%,134.9,20450,0.00774,5
20110403_lr_RL_1.2,205.05 kWh,32600,0.00827%,205.05,32600,0.00827,6
20110409_lr_RL_1.2,160.51 kWh,25192,0.00815%,160.51,25192,0.00815,7
20110411_lr_RL_1.2,156.21 kWh,24436,0.00859%,156.21,24436,0.00859,8
20110412_lr_RL_1.2,136.81 kWh,21282,0.00847%,136.81,21282,0.00847,9
300_lr_RL_1.2,124.83 kWh,17920,0.00911%,124.83,17920,0.00911,10
301_lr_RL_1.2,160.49 kWh,25281,0.00807%,160.49,25281,0.00807,11
302_lr_RL_1.2,110.08 kWh,15471,0.00738%,110.08,15471,0.00738,12
303_lr_RL_1.2,109.77 kWh,15358,0.00748%,109.77,15358,0.00748,13
304_lr_RL_1.2,202.86 kWh,31311,0.00806%,202.86,31311,0.00806,14
305_lr_RL_1.2,201.57 kWh,31759,0.00831%,201.57,31759,0.00831,15
306_lr_RL_1.2,146.32 kWh,20788,0.00766%,146.32,20788,0.00766,16
307_lr_RL_1.2,109.76 kWh,15867,0.00765%,109.76,15867,0.00765,17
308_lr_RL_1.2,155.59 kWh,24275,0.00828%,155.59,24275,0.00828,18
309_lr_RL_1.2,158.01 kWh,24645,0.00810%,158.01,24645,0.0081,19
310_lr_RL_1.2,135.73 kWh,21042,0.00847%,135.73,21042,0.00847,20
311_lr_RL_1.2,133.63 kWh,20293,0.00783%,133.63,20293,0.00783,21
312_lr_RL_1.2,109.35 kWh,15541,0.00769%,109.35,15541,0.00769,22
313_lr_RL_1.2,155.97 kWh,24097,0.00837%,155.97,24097,0.00837,23
314_lr_RL_1.2,134.94 kWh,20338,0.00820%,134.94,20338,0.0082,24
315_lr_RL_1.2,154.96 kWh,23833,0.00822%,154.96,23833,0.00822,25
316_lr_RL_1.2,159.32 kWh,24698,0.00805%,159.32,24698,0.00805,26
317_lr_RL_1.2,201.49 kWh,31368,0.00822%,201.49,31368,0.00822,27
318_lr_RL_1.2,145.20 kWh,20532,0.00770%,145.2,20532,0.0077,28
319_lr_RL_1.2,200.94 kWh,30792,0.00798%,200.94,30792,0.00798,29
320_lr_RL_1.2,145.65 kWh,20945,0.00791%,145.65,20945,0.00791,30
321_lr_RL_1.2,108.73 kWh,14721,0.00724%,108.73,14721,0.00724,31
