ExperimentName,Energy(KWh)_str,Migrations_str,SLA(%)_str,Energy(KWh),Migrations,SLA(%),Days
20110303_lr_RL_1.2,158.15 kWh,25720,0.00745%,158.15,25720,0.00745,1
20110306_lr_RL_1.2,120.88 kWh,19114,0.00705%,120.88,19114,0.00705,2
20110309_lr_RL_1.2,137.59 kWh,22577,0.00863%,137.59,22577,0.00863,3
20110322_lr_RL_1.2,172.92 kWh,29647,0.00693%,172.92,29647,0.00693,4
20110325_lr_RL_1.2,146.78 kWh,24602,0.00725%,146.78,24602,0.00725,5
20110403_lr_RL_1.2,224.40 kWh,36710,0.00686%,224.4,36710,0.00686,6
20110409_lr_RL_1.2,176.58 kWh,29066,0.00701%,176.58,29066,0.00701,7
20110411_lr_RL_1.2,173.11 kWh,28333,0.00716%,173.11,28333,0.00716,8
20110412_lr_RL_1.2,151.10 kWh,24108,0.00693%,151.1,24108,0.00693,9
300_lr_RL_1.2,136.37 kWh,22030,0.00865%,136.37,22030,0.00865,10
301_lr_RL_1.2,177.81 kWh,29507,0.00717%,177.81,29507,0.00717,11
302_lr_RL_1.2,124.27 kWh,19937,0.00726%,124.27,19937,0.00726,12
303_lr_RL_1.2,124.28 kWh,20020,0.00739%,124.28,20020,0.00739,13
304_lr_RL_1.2,229.97 kWh,38219,0.00689%,229.97,38219,0.00689,14
305_lr_RL_1.2,230.86 kWh,37218,0.00674%,230.86,37218,0.00674,15
306_lr_RL_1.2,165.45 kWh,26551,0.00709%,165.45,26551,0.00709,16
307_lr_RL_1.2,125.31 kWh,20118,0.00721%,125.31,20118,0.00721,17
308_lr_RL_1.2,177.49 kWh,29164,0.00708%,177.49,29164,0.00708,18
309_lr_RL_1.2,180.21 kWh,29508,0.00693%,180.21,29508,0.00693,19
310_lr_RL_1.2,153.81 kWh,25163,0.00731%,153.81,25163,0.00731,20
311_lr_RL_1.2,151.39 kWh,25368,0.00715%,151.39,25368,0.00715,21
312_lr_RL_1.2,124.18 kWh,20012,0.00746%,124.18,20012,0.00746,22
313_lr_RL_1.2,174.91 kWh,29190,0.00724%,174.91,29190,0.00724,23
314_lr_RL_1.2,154.17 kWh,26063,0.00735%,154.17,26063,0.00735,24
315_lr_RL_1.2,177.78 kWh,29150,0.00716%,177.78,29150,0.00716,25
316_lr_RL_1.2,181.10 kWh,29996,0.00708%,181.1,29996,0.00708,26
317_lr_RL_1.2,228.63 kWh,37477,0.00700%,228.63,37477,0.007,27
318_lr_RL_1.2,166.40 kWh,26846,0.00709%,166.4,26846,0.00709,28
319_lr_RL_1.2,229.72 kWh,37521,0.00702%,229.72,37521,0.00702,29
320_lr_RL_1.2,165.91 kWh,26621,0.00708%,165.91,26621,0.00708,30
321_lr_RL_1.2,126.79 kWh,20414,0.00732%,126.79,20414,0.00732,31
