ExperimentName,Energy(KWh)_str,Migrations_str,SLA(%)_str,Energy(KWh),Migrations,SLA(%),Days
20110303_lr_RL_1.2,143.43 kWh,19037,0.00741%,143.43,19037,0.00741,1
20110306_lr_RL_1.2,107.71 kWh,13809,0.00715%,107.71,13809,0.00715,2
20110309_lr_RL_1.2,120.78 kWh,15727,0.00847%,120.78,15727,0.00847,3
20110322_lr_RL_1.2,151.52 kWh,23489,0.00821%,151.52,23489,0.00821,4
20110325_lr_RL_1.2,130.88 kWh,18733,0.00803%,130.88,18733,0.00803,5
20110403_lr_RL_1.2,197.06 kWh,28024,0.00783%,197.06,28024,0.00783,6
20110409_lr_RL_1.2,156.44 kWh,22666,0.00776%,156.44,22666,0.00776,7
20110411_lr_RL_1.2,152.97 kWh,22359,0.00816%,152.97,22359,0.00816,8
20110412_lr_RL_1.2,132.87 kWh,18802,0.00792%,132.87,18802,0.00792,9
300_lr_RL_1.2,120.70 kWh,15444,0.00821%,120.7,15444,0.00821,10
301_lr_RL_1.2,154.95 kWh,21805,0.00749%,154.95,21805,0.00749,11
302_lr_RL_1.2,107.53 kWh,13444,0.00686%,107.53,13444,0.00686,12
303_lr_RL_1.2,107.23 kWh,13292,0.00675%,107.23,13292,0.00675,13
304_lr_RL_1.2,196.63 kWh,27893,0.00779%,196.63,27893,0.00779,14
305_lr_RL_1.2,196.54 kWh,27792,0.00772%,196.54,27792,0.00772,15
306_lr_RL_1.2,142.87 kWh,18595,0.00751%,142.87,18595,0.00751,16
307_lr_RL_1.2,107.13 kWh,13125,0.00662%,107.13,13125,0.00662,17
308_lr_RL_1.2,151.96 kWh,21722,0.00794%,151.96,21722,0.00794,18
309_lr_RL_1.2,155.73 kWh,22023,0.00773%,155.73,22023,0.00773,19
310_lr_RL_1.2,131.67 kWh,18043,0.00770%,131.67,18043,0.0077,20
311_lr_RL_1.2,129.62 kWh,17876,0.00761%,129.62,17876,0.00761,21
312_lr_RL_1.2,107.31 kWh,13213,0.00686%,107.31,13213,0.00686,22
313_lr_RL_1.2,152.38 kWh,21313,0.00794%,152.38,21313,0.00794,23
314_lr_RL_1.2,131.50 kWh,17810,0.00775%,131.5,17810,0.00775,24
315_lr_RL_1.2,151.93 kWh,21228,0.00758%,151.93,21228,0.00758,25
316_lr_RL_1.2,155.08 kWh,21507,0.00757%,155.08,21507,0.00757,26
317_lr_RL_1.2,195.87 kWh,26982,0.00761%,195.87,26982,0.00761,27
318_lr_RL_1.2,142.87 kWh,18375,0.00742%,142.87,18375,0.00742,28
319_lr_RL_1.2,196.32 kWh,27117,0.00778%,196.32,27117,0.00778,29
320_lr_RL_1.2,142.62 kWh,17541,0.00724%,142.62,17541,0.00724,30
321_lr_RL_1.2,107.12 kWh,12951,0.00671%,107.12,12951,0.00671,31
