ExperimentName,Energy(KWh)_str,Migrations_str,SLA(%)_str,Energy(KWh),Migrations,SLA(%),Days
20110303_lr_RL_1.2,143.50 kWh,19499,0.00749%,143.5,19499,0.00749,1
20110306_lr_RL_1.2,108.76 kWh,15071,0.00755%,108.76,15071,0.00755,2
20110309_lr_RL_1.2,121.71 kWh,15763,0.00822%,121.71,15763,0.00822,3
20110322_lr_RL_1.2,153.50 kWh,24348,0.00808%,153.5,24348,0.00808,4
20110325_lr_RL_1.2,131.22 kWh,19600,0.00783%,131.22,19600,0.00783,5
20110403_lr_RL_1.2,199.10 kWh,30066,0.00797%,199.1,30066,0.00797,6
20110409_lr_RL_1.2,157.49 kWh,23653,0.00793%,157.49,23653,0.00793,7
20110411_lr_RL_1.2,154.24 kWh,23412,0.00835%,154.24,23412,0.00835,8
20110412_lr_RL_1.2,133.92 kWh,19686,0.00804%,133.92,19686,0.00804,9
300_lr_RL_1.2,121.31 kWh,15996,0.00847%,121.31,15996,0.00847,10
301_lr_RL_1.2,156.49 kWh,22748,0.00761%,156.49,22748,0.00761,11
302_lr_RL_1.2,108.39 kWh,14454,0.00728%,108.39,14454,0.00728,12
303_lr_RL_1.2,108.12 kWh,14288,0.00702%,108.12,14288,0.00702,13
304_lr_RL_1.2,198.93 kWh,29399,0.00801%,198.93,29399,0.00801,14
305_lr_RL_1.2,199.44 kWh,29738,0.00823%,199.44,29738,0.00823,15
306_lr_RL_1.2,144.96 kWh,20178,0.00790%,144.96,20178,0.0079,16
307_lr_RL_1.2,108.46 kWh,14241,0.00709%,108.46,14241,0.00709,17
308_lr_RL_1.2,153.57 kWh,23189,0.00826%,153.57,23189,0.00826,18
309_lr_RL_1.2,156.40 kWh,22622,0.00752%,156.4,22622,0.00752,19
310_lr_RL_1.2,133.37 kWh,19292,0.00808%,133.37,19292,0.00808,20
311_lr_RL_1.2,131.42 kWh,19160,0.00778%,131.42,19160,0.00778,21
312_lr_RL_1.2,108.22 kWh,13882,0.00688%,108.22,13882,0.00688,22
313_lr_RL_1.2,153.80 kWh,22709,0.00815%,153.8,22709,0.00815,23
314_lr_RL_1.2,134.07 kWh,19848,0.00817%,134.07,19848,0.00817,24
315_lr_RL_1.2,152.46 kWh,21814,0.00783%,152.46,21814,0.00783,25
316_lr_RL_1.2,156.61 kWh,23159,0.00788%,156.61,23159,0.00788,26
317_lr_RL_1.2,198.08 kWh,29021,0.00776%,198.08,29021,0.00776,27
318_lr_RL_1.2,143.93 kWh,19504,0.00763%,143.93,19504,0.00763,28
319_lr_RL_1.2,199.08 kWh,30234,0.00823%,199.08,30234,0.00823,29
320_lr_RL_1.2,143.49 kWh,19305,0.00750%,143.49,19305,0.0075,30
321_lr_RL_1.2,108.47 kWh,14176,0.00703%,108.47,14176,0.00703,31
