ExperimentName,Energy(KWh)_str,Migrations_str,SLA(%)_str,Energy(KWh),Migrations,SLA(%),Days
20110303_lr_RL_1.2,143.35 kWh,17291,0.00719%,143.35,17291,0.00719,1
20110306_lr_RL_1.2,105.78 kWh,11492,0.00619%,105.78,11492,0.00619,2
20110309_lr_RL_1.2,118.70 kWh,13381,0.00781%,118.7,13381,0.00781,3
20110322_lr_RL_1.2,147.92 kWh,20189,0.00770%,147.92,20189,0.0077,4
20110325_lr_RL_1.2,127.37 kWh,15876,0.00729%,127.37,15876,0.00729,5
20110403_lr_RL_1.2,193.45 kWh,24308,0.00762%,193.45,24308,0.00762,6
20110409_lr_RL_1.2,152.58 kWh,19451,0.00734%,152.58,19451,0.00734,7
20110411_lr_RL_1.2,149.86 kWh,19300,0.00769%,149.86,19300,0.00769,8
20110412_lr_RL_1.2,129.63 kWh,16107,0.00719%,129.63,16107,0.00719,9
300_lr_RL_1.2,118.78 kWh,13460,0.00773%,118.78,13460,0.00773,10
301_lr_RL_1.2,152.69 kWh,19372,0.00721%,152.69,19372,0.00721,11
302_lr_RL_1.2,105.58 kWh,11343,0.00615%,105.58,11343,0.00615,12
303_lr_RL_1.2,105.84 kWh,11526,0.00637%,105.84,11526,0.00637,13
304_lr_RL_1.2,192.83 kWh,23047,0.00723%,192.83,23047,0.00723,14
305_lr_RL_1.2,193.37 kWh,24257,0.00758%,193.37,24257,0.00758,15
306_lr_RL_1.2,140.38 kWh,15441,0.00676%,140.38,15441,0.00676,16
307_lr_RL_1.2,105.60 kWh,11335,0.00613%,105.6,11335,0.00613,17
308_lr_RL_1.2,149.53 kWh,18845,0.00730%,149.53,18845,0.0073,18
309_lr_RL_1.2,152.26 kWh,18885,0.00705%,152.26,18885,0.00705,19
310_lr_RL_1.2,129.67 kWh,15487,0.00712%,129.67,15487,0.00712,20
311_lr_RL_1.2,127.27 kWh,16060,0.00736%,127.27,16060,0.00736,21
312_lr_RL_1.2,105.41 kWh,11101,0.00610%,105.41,11101,0.0061,22
313_lr_RL_1.2,149.48 kWh,19030,0.00727%,149.48,19030,0.00727,23
314_lr_RL_1.2,129.50 kWh,15324,0.00705%,129.5,15324,0.00705,24
315_lr_RL_1.2,149.45 kWh,19021,0.00760%,149.45,19021,0.0076,25
316_lr_RL_1.2,152.04 kWh,18654,0.00703%,152.04,18654,0.00703,26
317_lr_RL_1.2,192.87 kWh,23244,0.00718%,192.87,23244,0.00718,27
318_lr_RL_1.2,140.42 kWh,15545,0.00661%,140.42,15545,0.00661,28
319_lr_RL_1.2,193.54 kWh,23663,0.00734%,193.54,23663,0.00734,29
320_lr_RL_1.2,140.53 kWh,15485,0.00660%,140.53,15485,0.0066,30
321_lr_RL_1.2,105.65 kWh,11484,0.00642%,105.65,11484,0.00642,31
