ExperimentName,Energy(KWh)_str,Migrations_str,SLA(%)_str,Energy(KWh),Migrations,SLA(%),Days
20110303_lr_RL_1.2,142.13 kWh,17448,0.00721%,142.13,17448,0.00721,1
20110306_lr_RL_1.2,106.50 kWh,12629,0.00656%,106.5,12629,0.00656,2
20110309_lr_RL_1.2,119.72 kWh,14726,0.00847%,119.72,14726,0.00847,3
20110322_lr_RL_1.2,149.51 kWh,22264,0.00790%,149.51,22264,0.0079,4
20110325_lr_RL_1.2,128.32 kWh,16689,0.00721%,128.32,16689,0.00721,5
20110403_lr_RL_1.2,195.19 kWh,26076,0.00759%,195.19,26076,0.00759,6
20110409_lr_RL_1.2,154.50 kWh,20694,0.00742%,154.5,20694,0.00742,7
20110411_lr_RL_1.2,150.69 kWh,21058,0.00782%,150.69,21058,0.00782,8
20110412_lr_RL_1.2,130.11 kWh,16333,0.00713%,130.11,16333,0.00713,9
300_lr_RL_1.2,119.46 kWh,14397,0.00784%,119.46,14397,0.00784,10
301_lr_RL_1.2,153.73 kWh,21024,0.00749%,153.73,21024,0.00749,11
302_lr_RL_1.2,106.32 kWh,12592,0.00653%,106.32,12592,0.00653,12
303_lr_RL_1.2,105.91 kWh,12673,0.00649%,105.91,12673,0.00649,13
304_lr_RL_1.2,194.41 kWh,25189,0.00730%,194.41,25189,0.0073,14
305_lr_RL_1.2,195.27 kWh,26100,0.00759%,195.27,26100,0.00759,15
306_lr_RL_1.2,141.76 kWh,17384,0.00715%,141.76,17384,0.00715,16
307_lr_RL_1.2,106.37 kWh,12670,0.00657%,106.37,12670,0.00657,17
308_lr_RL_1.2,151.44 kWh,20894,0.00786%,151.44,20894,0.00786,18
309_lr_RL_1.2,153.81 kWh,20466,0.00744%,153.81,20466,0.00744,19
310_lr_RL_1.2,130.56 kWh,17121,0.00756%,130.56,17121,0.00756,20
311_lr_RL_1.2,127.72 kWh,16636,0.00730%,127.72,16636,0.0073,21
312_lr_RL_1.2,106.46 kWh,12170,0.00639%,106.46,12170,0.00639,22
313_lr_RL_1.2,151.07 kWh,20440,0.00770%,151.07,20440,0.0077,23
314_lr_RL_1.2,130.40 kWh,17070,0.00734%,130.4,17070,0.00734,24
315_lr_RL_1.2,150.70 kWh,20447,0.00765%,150.7,20447,0.00765,25
316_lr_RL_1.2,153.71 kWh,20358,0.00750%,153.71,20358,0.0075,26
317_lr_RL_1.2,194.00 kWh,25472,0.00753%,194.0,25472,0.00753,27
318_lr_RL_1.2,141.67 kWh,17012,0.00677%,141.67,17012,0.00677,28
319_lr_RL_1.2,194.59 kWh,25948,0.00774%,194.59,25948,0.00774,29
320_lr_RL_1.2,141.73 kWh,17042,0.00711%,141.73,17042,0.00711,30
321_lr_RL_1.2,106.42 kWh,12368,0.00651%,106.42,12368,0.00651,31
