ExperimentName,Energy(KWh)_str,Migrations_str,SLA(%)_str,Energy(KWh),Migrations,SLA(%),Days
20110303_lr_RL_1.2,141.43 kWh,16570,0.00705%,141.43,16570,0.00705,1
20110306_lr_RL_1.2,106.05 kWh,11946,0.00665%,106.05,11946,0.00665,2
20110309_lr_RL_1.2,119.14 kWh,13852,0.00792%,119.14,13852,0.00792,3
20110322_lr_RL_1.2,149.00 kWh,21102,0.00780%,149.0,21102,0.0078,4
20110325_lr_RL_1.2,127.96 kWh,16477,0.00745%,127.96,16477,0.00745,5
20110403_lr_RL_1.2,194.03 kWh,25065,0.00754%,194.03,25065,0.00754,6
20110409_lr_RL_1.2,153.20 kWh,19837,0.00724%,153.2,19837,0.00724,7
20110411_lr_RL_1.2,150.62 kWh,20329,0.00784%,150.62,20329,0.00784,8
20110412_lr_RL_1.2,130.28 kWh,16516,0.00738%,130.28,16516,0.00738,9
300_lr_RL_1.2,118.63 kWh,13598,0.00774%,118.63,13598,0.00774,10
301_lr_RL_1.2,153.60 kWh,20254,0.00752%,153.6,20254,0.00752,11
302_lr_RL_1.2,106.12 kWh,11970,0.00650%,106.12,11970,0.0065,12
303_lr_RL_1.2,105.60 kWh,11673,0.00620%,105.6,11673,0.0062,13
304_lr_RL_1.2,193.28 kWh,24188,0.00719%,193.28,24188,0.00719,14
305_lr_RL_1.2,193.97 kWh,24880,0.00753%,193.97,24880,0.00753,15
306_lr_RL_1.2,141.15 kWh,16414,0.00699%,141.15,16414,0.00699,16
307_lr_RL_1.2,106.11 kWh,11892,0.00649%,106.11,11892,0.00649,17
308_lr_RL_1.2,150.67 kWh,20368,0.00778%,150.67,20368,0.00778,18
309_lr_RL_1.2,153.20 kWh,19533,0.00723%,153.2,19533,0.00723,19
310_lr_RL_1.2,130.17 kWh,16259,0.00751%,130.17,16259,0.00751,20
311_lr_RL_1.2,127.63 kWh,16138,0.00725%,127.63,16138,0.00725,21
312_lr_RL_1.2,105.35 kWh,11717,0.00630%,105.35,11717,0.0063,22
313_lr_RL_1.2,149.92 kWh,19541,0.00745%,149.92,19541,0.00745,23
314_lr_RL_1.2,130.08 kWh,16342,0.00758%,130.08,16342,0.00758,24
315_lr_RL_1.2,149.57 kWh,19192,0.00742%,149.57,19192,0.00742,25
316_lr_RL_1.2,152.78 kWh,19464,0.00705%,152.78,19464,0.00705,26
317_lr_RL_1.2,193.67 kWh,24343,0.00740%,193.67,24343,0.0074,27
318_lr_RL_1.2,140.81 kWh,16000,0.00678%,140.81,16000,0.00678,28
319_lr_RL_1.2,193.38 kWh,24021,0.00722%,193.38,24021,0.00722,29
320_lr_RL_1.2,140.86 kWh,16142,0.00683%,140.86,16142,0.00683,30
321_lr_RL_1.2,106.04 kWh,11708,0.00654%,106.04,11708,0.00654,31
