ExperimentName,Energy(KWh)_str,Migrations_str,SLA(%)_str,Energy(KWh),Migrations,SLA(%),Days
20110303_lr_RL_1.2,141.87 kWh,17454,0.00710%,141.87,17454,0.0071,1
20110306_lr_RL_1.2,106.52 kWh,12612,0.00628%,106.52,12612,0.00628,2
20110309_lr_RL_1.2,119.86 kWh,15105,0.00837%,119.86,15105,0.00837,3
20110322_lr_RL_1.2,149.97 kWh,22502,0.00792%,149.97,22502,0.00792,4
20110325_lr_RL_1.2,128.86 kWh,17763,0.00772%,128.86,17763,0.00772,5
20110403_lr_RL_1.2,194.99 kWh,25823,0.00751%,194.99,25823,0.00751,6
20110409_lr_RL_1.2,153.61 kWh,20329,0.00724%,153.61,20329,0.00724,7
20110411_lr_RL_1.2,150.78 kWh,20907,0.00772%,150.78,20907,0.00772,8
20110412_lr_RL_1.2,130.33 kWh,16643,0.00722%,130.33,16643,0.00722,9
300_lr_RL_1.2,119.39 kWh,14770,0.00802%,119.39,14770,0.00802,10
301_lr_RL_1.2,154.68 kWh,21361,0.00746%,154.68,21361,0.00746,11
302_lr_RL_1.2,106.52 kWh,12421,0.00648%,106.52,12421,0.00648,12
303_lr_RL_1.2,106.78 kWh,12791,0.00663%,106.78,12791,0.00663,13
304_lr_RL_1.2,195.30 kWh,26274,0.00757%,195.3,26274,0.00757,14
305_lr_RL_1.2,195.75 kWh,26105,0.00760%,195.75,26105,0.0076,15
306_lr_RL_1.2,142.60 kWh,18043,0.00732%,142.6,18043,0.00732,16
307_lr_RL_1.2,106.59 kWh,12497,0.00636%,106.59,12497,0.00636,17
308_lr_RL_1.2,151.51 kWh,21316,0.00795%,151.51,21316,0.00795,18
309_lr_RL_1.2,154.34 kWh,21658,0.00753%,154.34,21658,0.00753,19
310_lr_RL_1.2,130.63 kWh,16810,0.00747%,130.63,16810,0.00747,20
311_lr_RL_1.2,128.97 kWh,17441,0.00745%,128.97,17441,0.00745,21
312_lr_RL_1.2,106.62 kWh,12525,0.00663%,106.62,12525,0.00663,22
313_lr_RL_1.2,150.29 kWh,20773,0.00755%,150.29,20773,0.00755,23
314_lr_RL_1.2,130.76 kWh,17706,0.00754%,130.76,17706,0.00754,24
315_lr_RL_1.2,150.35 kWh,20344,0.00761%,150.35,20344,0.00761,25
316_lr_RL_1.2,154.60 kWh,21116,0.00754%,154.6,21116,0.00754,26
317_lr_RL_1.2,195.29 kWh,26899,0.00761%,195.29,26899,0.00761,27
318_lr_RL_1.2,141.95 kWh,16689,0.00682%,141.95,16689,0.00682,28
319_lr_RL_1.2,195.71 kWh,26694,0.00757%,195.71,26694,0.00757,29
320_lr_RL_1.2,142.43 kWh,17777,0.00721%,142.43,17777,0.00721,30
321_lr_RL_1.2,106.47 kWh,12676,0.00650%,106.47,12676,0.0065,31
