ExperimentName,Energy(KWh)_str,Migrations_str,SLA(%)_str,Energy(KWh),Migrations,SLA(%),Days
20110303_lr_RL_1.2,140.58 kWh,16076,0.00672%,140.58,16076,0.00672,1
20110306_lr_RL_1.2,105.61 kWh,11858,0.00628%,105.61,11858,0.00628,2
20110309_lr_RL_1.2,119.17 kWh,14205,0.00805%,119.17,14205,0.00805,3
20110322_lr_RL_1.2,148.52 kWh,20864,0.00768%,148.52,20864,0.00768,4
20110325_lr_RL_1.2,127.89 kWh,16840,0.00759%,127.89,16840,0.00759,5
20110403_lr_RL_1.2,194.35 kWh,25492,0.00762%,194.35,25492,0.00762,6
20110409_lr_RL_1.2,153.81 kWh,20501,0.00745%,153.81,20501,0.00745,7
20110411_lr_RL_1.2,150.84 kWh,20625,0.00763%,150.84,20625,0.00763,8
20110412_lr_RL_1.2,130.96 kWh,17299,0.00795%,130.96,17299,0.00795,9
300_lr_RL_1.2,118.65 kWh,13551,0.00760%,118.65,13551,0.0076,10
301_lr_RL_1.2,153.37 kWh,20145,0.00730%,153.37,20145,0.0073,11
302_lr_RL_1.2,106.72 kWh,12533,0.00661%,106.72,12533,0.00661,12
303_lr_RL_1.2,106.42 kWh,12307,0.00660%,106.42,12307,0.0066,13
304_lr_RL_1.2,194.24 kWh,25208,0.00753%,194.24,25208,0.00753,14
305_lr_RL_1.2,194.48 kWh,24894,0.00756%,194.48,24894,0.00756,15
306_lr_RL_1.2,141.12 kWh,16459,0.00677%,141.12,16459,0.00677,16
307_lr_RL_1.2,105.83 kWh,11981,0.00637%,105.83,11981,0.00637,17
308_lr_RL_1.2,150.70 kWh,20671,0.00781%,150.7,20671,0.00781,18
309_lr_RL_1.2,153.46 kWh,19956,0.00720%,153.46,19956,0.0072,19
310_lr_RL_1.2,130.49 kWh,17139,0.00719%,130.49,17139,0.00719,20
311_lr_RL_1.2,128.33 kWh,16441,0.00725%,128.33,16441,0.00725,21
312_lr_RL_1.2,105.77 kWh,12025,0.00648%,105.77,12025,0.00648,22
313_lr_RL_1.2,150.67 kWh,19998,0.00772%,150.67,19998,0.00772,23
314_lr_RL_1.2,130.15 kWh,16502,0.00738%,130.15,16502,0.00738,24
315_lr_RL_1.2,150.29 kWh,20403,0.00755%,150.29,20403,0.00755,25
316_lr_RL_1.2,153.83 kWh,20624,0.00738%,153.83,20624,0.00738,26
317_lr_RL_1.2,194.12 kWh,25513,0.00748%,194.12,25513,0.00748,27
318_lr_RL_1.2,140.77 kWh,15846,0.00646%,140.77,15846,0.00646,28
319_lr_RL_1.2,194.42 kWh,25224,0.00759%,194.42,25224,0.00759,29
320_lr_RL_1.2,141.20 kWh,16397,0.00677%,141.2,16397,0.00677,30
321_lr_RL_1.2,105.81 kWh,11835,0.00632%,105.81,11835,0.00632,31
