ExperimentName,Energy(KWh)_str,Migrations_str,SLA(%)_str,Energy(KWh),Migrations,SLA(%),Days
20110303_lr_RL_1.2,141.85 kWh,17426,0.00701%,141.85,17426,0.00701,1
20110306_lr_RL_1.2,107.17 kWh,13473,0.00704%,107.17,13473,0.00704,2
20110309_lr_RL_1.2,120.16 kWh,15101,0.00828%,120.16,15101,0.00828,3
20110322_lr_RL_1.2,150.60 kWh,22468,0.00794%,150.6,22468,0.00794,4
20110325_lr_RL_1.2,128.76 kWh,17492,0.00757%,128.76,17492,0.00757,5
20110403_lr_RL_1.2,195.82 kWh,27080,0.00762%,195.82,27080,0.00762,6
20110409_lr_RL_1.2,154.44 kWh,21671,0.00762%,154.44,21671,0.00762,7
20110411_lr_RL_1.2,152.03 kWh,21744,0.00798%,152.03,21744,0.00798,8
20110412_lr_RL_1.2,131.37 kWh,17614,0.00769%,131.37,17614,0.00769,9
300_lr_RL_1.2,119.72 kWh,14643,0.00815%,119.72,14643,0.00815,10
301_lr_RL_1.2,154.27 kWh,21778,0.00740%,154.27,21778,0.0074,11
302_lr_RL_1.2,106.62 kWh,12897,0.00660%,106.62,12897,0.0066,12
303_lr_RL_1.2,107.16 kWh,13083,0.00676%,107.16,13083,0.00676,13
304_lr_RL_1.2,196.23 kWh,26953,0.00773%,196.23,26953,0.00773,14
305_lr_RL_1.2,195.94 kWh,27429,0.00781%,195.94,27429,0.00781,15
306_lr_RL_1.2,142.57 kWh,17979,0.00713%,142.57,17979,0.00713,16
307_lr_RL_1.2,106.73 kWh,12860,0.00671%,106.73,12860,0.00671,17
308_lr_RL_1.2,151.36 kWh,21531,0.00788%,151.36,21531,0.00788,18
309_lr_RL_1.2,154.55 kWh,21529,0.00758%,154.55,21529,0.00758,19
310_lr_RL_1.2,130.99 kWh,17070,0.00721%,130.99,17070,0.00721,20
311_lr_RL_1.2,129.60 kWh,17802,0.00755%,129.6,17802,0.00755,21
312_lr_RL_1.2,106.38 kWh,12432,0.00652%,106.38,12432,0.00652,22
313_lr_RL_1.2,151.66 kWh,21432,0.00782%,151.66,21432,0.00782,23
314_lr_RL_1.2,131.34 kWh,17642,0.00740%,131.34,17642,0.0074,24
315_lr_RL_1.2,151.36 kWh,21502,0.00797%,151.36,21502,0.00797,25
316_lr_RL_1.2,154.96 kWh,21297,0.00754%,154.96,21297,0.00754,26
317_lr_RL_1.2,195.38 kWh,26818,0.00759%,195.38,26818,0.00759,27
318_lr_RL_1.2,142.25 kWh,17969,0.00726%,142.25,17969,0.00726,28
319_lr_RL_1.2,195.91 kWh,27116,0.00786%,195.91,27116,0.00786,29
320_lr_RL_1.2,142.35 kWh,18683,0.00745%,142.35,18683,0.00745,30
321_lr_RL_1.2,106.91 kWh,13075,0.00659%,106.91,13075,0.00659,31
