ExperimentName,Energy(KWh)_str,Migrations_str,SLA(%)_str,Energy(KWh),Migrations,SLA(%),Days
20110303_lr_RL_1.2,149.27 kWh,22412,0.00794%,149.27,22412,0.00794,1
20110306_lr_RL_1.2,114.62 kWh,17134,0.00782%,114.62,17134,0.00782,2
20110309_lr_RL_1.2,130.04 kWh,20160,0.00943%,130.04,20160,0.00943,3
20110322_lr_RL_1.2,163.97 kWh,28333,0.00808%,163.97,28333,0.00808,4
20110325_lr_RL_1.2,142.16 kWh,22733,0.00787%,142.16,22733,0.00787,5
20110403_lr_RL_1.2,213.59 kWh,34970,0.00786%,213.59,34970,0.00786,6
20110409_lr_RL_1.2,170.43 kWh,27975,0.00791%,170.43,27975,0.00791,7
20110411_lr_RL_1.2,167.65 kWh,27610,0.00821%,167.65,27610,0.00821,8
20110412_lr_RL_1.2,145.78 kWh,24318,0.00824%,145.78,24318,0.00824,9
300_lr_RL_1.2,132.28 kWh,20546,0.00936%,132.28,20546,0.00936,10
301_lr_RL_1.2,171.18 kWh,28217,0.00792%,171.18,28217,0.00792,11
302_lr_RL_1.2,116.81 kWh,17996,0.00775%,116.81,17996,0.00775,12
303_lr_RL_1.2,116.52 kWh,17730,0.00793%,116.52,17730,0.00793,13
304_lr_RL_1.2,215.73 kWh,35678,0.00793%,215.73,35678,0.00793,14
305_lr_RL_1.2,216.60 kWh,34840,0.00779%,216.6,34840,0.00779,15
306_lr_RL_1.2,156.08 kWh,24474,0.00809%,156.08,24474,0.00809,16
307_lr_RL_1.2,116.91 kWh,17572,0.00770%,116.91,17572,0.0077,17
308_lr_RL_1.2,166.83 kWh,28159,0.00831%,166.83,28159,0.00831,18
309_lr_RL_1.2,171.04 kWh,28306,0.00816%,171.04,28306,0.00816,19
310_lr_RL_1.2,147.04 kWh,24125,0.00819%,147.04,24125,0.00819,20
311_lr_RL_1.2,143.97 kWh,23392,0.00829%,143.97,23392,0.00829,21
312_lr_RL_1.2,117.84 kWh,17834,0.00799%,117.84,17834,0.00799,22
313_lr_RL_1.2,169.84 kWh,28174,0.00833%,169.84,28174,0.00833,23
314_lr_RL_1.2,146.97 kWh,24543,0.00866%,146.97,24543,0.00866,24
315_lr_RL_1.2,167.90 kWh,28159,0.00830%,167.9,28159,0.0083,25
316_lr_RL_1.2,171.76 kWh,28691,0.00808%,171.76,28691,0.00808,26
317_lr_RL_1.2,217.45 kWh,35252,0.00787%,217.45,35252,0.00787,27
318_lr_RL_1.2,156.36 kWh,24633,0.00775%,156.36,24633,0.00775,28
319_lr_RL_1.2,216.98 kWh,35716,0.00825%,216.98,35716,0.00825,29
320_lr_RL_1.2,157.71 kWh,24930,0.00808%,157.71,24930,0.00808,30
321_lr_RL_1.2,116.96 kWh,18146,0.00772%,116.96,18146,0.00772,31
