ExperimentName,Energy(KWh)_str,Migrations_str,SLA(%)_str,Energy(KWh),Migrations,SLA(%),Days
20110303_lr_RL_1.2,151.57 kWh,23254,0.00772%,151.57,23254,0.00772,1
20110306_lr_RL_1.2,116.46 kWh,18324,0.00786%,116.46,18324,0.00786,2
20110309_lr_RL_1.2,132.45 kWh,20307,0.00868%,132.45,20307,0.00868,3
20110322_lr_RL_1.2,166.71 kWh,27997,0.00763%,166.71,27997,0.00763,4
20110325_lr_RL_1.2,143.87 kWh,23485,0.00775%,143.87,23485,0.00775,5
20110403_lr_RL_1.2,216.57 kWh,36303,0.00754%,216.57,36303,0.00754,6
20110409_lr_RL_1.2,171.58 kWh,28475,0.00747%,171.58,28475,0.00747,7
20110411_lr_RL_1.2,168.71 kWh,27692,0.00769%,168.71,27692,0.00769,8
20110412_lr_RL_1.2,146.89 kWh,24710,0.00793%,146.89,24710,0.00793,9
300_lr_RL_1.2,135.10 kWh,21813,0.00902%,135.1,21813,0.00902,10
301_lr_RL_1.2,174.23 kWh,29154,0.00743%,174.23,29154,0.00743,11
302_lr_RL_1.2,121.31 kWh,19211,0.00746%,121.31,19211,0.00746,12
303_lr_RL_1.2,121.67 kWh,19830,0.00770%,121.67,19830,0.0077,13
304_lr_RL_1.2,220.57 kWh,37341,0.00750%,220.57,37341,0.0075,14
305_lr_RL_1.2,222.28 kWh,36450,0.00728%,222.28,36450,0.00728,15
306_lr_RL_1.2,161.68 kWh,25966,0.00749%,161.68,25966,0.00749,16
307_lr_RL_1.2,121.91 kWh,19507,0.00732%,121.91,19507,0.00732,17
308_lr_RL_1.2,174.42 kWh,28937,0.00749%,174.42,28937,0.00749,18
309_lr_RL_1.2,175.79 kWh,28759,0.00721%,175.79,28759,0.00721,19
310_lr_RL_1.2,152.11 kWh,25326,0.00771%,152.11,25326,0.00771,20
311_lr_RL_1.2,149.45 kWh,24095,0.00730%,149.45,24095,0.0073,21
312_lr_RL_1.2,123.59 kWh,20026,0.00757%,123.59,20026,0.00757,22
313_lr_RL_1.2,174.07 kWh,28531,0.00753%,174.07,28531,0.00753,23
314_lr_RL_1.2,151.26 kWh,24484,0.00763%,151.26,24484,0.00763,24
315_lr_RL_1.2,172.79 kWh,28738,0.00750%,172.79,28738,0.0075,25
316_lr_RL_1.2,177.82 kWh,29750,0.00746%,177.82,29750,0.00746,26
317_lr_RL_1.2,224.61 kWh,36743,0.00722%,224.61,36743,0.00722,27
318_lr_RL_1.2,161.30 kWh,25889,0.00736%,161.3,25889,0.00736,28
319_lr_RL_1.2,223.00 kWh,36077,0.00722%,223.0,36077,0.00722,29
320_lr_RL_1.2,162.54 kWh,26178,0.00741%,162.54,26178,0.00741,30
321_lr_RL_1.2,122.79 kWh,19723,0.00757%,122.79,19723,0.00757,31
