ExperimentName,Energy(KWh)_str,Migrations_str,SLA(%)_str,Energy(KWh),Migrations,SLA(%),Days
20110303_lr_RL_1.2,144.94 kWh,20145,0.00785%,144.94,20145,0.00785,1
20110306_lr_RL_1.2,109.34 kWh,14213,0.00707%,109.34,14213,0.00707,2
20110309_lr_RL_1.2,122.38 kWh,16421,0.00893%,122.38,16421,0.00893,3
20110322_lr_RL_1.2,153.72 kWh,24854,0.00863%,153.72,24854,0.00863,4
20110325_lr_RL_1.2,132.28 kWh,19444,0.00808%,132.28,19444,0.00808,5
20110403_lr_RL_1.2,200.44 kWh,30060,0.00814%,200.44,30060,0.00814,6
20110409_lr_RL_1.2,156.83 kWh,23159,0.00793%,156.83,23159,0.00793,7
20110411_lr_RL_1.2,153.84 kWh,23074,0.00813%,153.84,23074,0.00813,8
20110412_lr_RL_1.2,133.55 kWh,19394,0.00824%,133.55,19394,0.00824,9
300_lr_RL_1.2,121.75 kWh,16098,0.00864%,121.75,16098,0.00864,10
301_lr_RL_1.2,157.03 kWh,23160,0.00797%,157.03,23160,0.00797,11
302_lr_RL_1.2,107.71 kWh,13392,0.00695%,107.71,13392,0.00695,12
303_lr_RL_1.2,107.21 kWh,13003,0.00655%,107.21,13003,0.00655,13
304_lr_RL_1.2,198.36 kWh,28806,0.00794%,198.36,28806,0.00794,14
305_lr_RL_1.2,198.02 kWh,29067,0.00803%,198.02,29067,0.00803,15
306_lr_RL_1.2,143.76 kWh,19271,0.00762%,143.76,19271,0.00762,16
307_lr_RL_1.2,108.10 kWh,14236,0.00728%,108.1,14236,0.00728,17
308_lr_RL_1.2,153.99 kWh,22805,0.00814%,153.99,22805,0.00814,18
309_lr_RL_1.2,156.08 kWh,22653,0.00791%,156.08,22653,0.00791,19
310_lr_RL_1.2,132.50 kWh,18887,0.00796%,132.5,18887,0.00796,20
311_lr_RL_1.2,130.72 kWh,18593,0.00795%,130.72,18593,0.00795,21
312_lr_RL_1.2,107.77 kWh,13403,0.00703%,107.77,13403,0.00703,22
313_lr_RL_1.2,152.91 kWh,21801,0.00791%,152.91,21801,0.00791,23
314_lr_RL_1.2,132.63 kWh,18474,0.00792%,132.63,18474,0.00792,24
315_lr_RL_1.2,152.73 kWh,22301,0.00794%,152.73,22301,0.00794,25
316_lr_RL_1.2,155.99 kWh,22273,0.00771%,155.99,22273,0.00771,26
317_lr_RL_1.2,197.29 kWh,28067,0.00784%,197.29,28067,0.00784,27
318_lr_RL_1.2,143.21 kWh,18937,0.00756%,143.21,18937,0.00756,28
319_lr_RL_1.2,197.59 kWh,28148,0.00800%,197.59,28148,0.008,29
320_lr_RL_1.2,142.58 kWh,18113,0.00715%,142.58,18113,0.00715,30
321_lr_RL_1.2,107.52 kWh,13498,0.00699%,107.52,13498,0.00699,31
