ExperimentName,Energy(KWh)_str,Migrations_str,SLA(%)_str,Energy(KWh),Migrations,SLA(%),Days
20110303_lr_RL_1.2,140.77 kWh,16173,0.00673%,140.77,16173,0.00673,1
20110306_lr_RL_1.2,105.97 kWh,11962,0.00629%,105.97,11962,0.00629,2
20110309_lr_RL_1.2,119.32 kWh,14138,0.00809%,119.32,14138,0.00809,3
20110322_lr_RL_1.2,148.10 kWh,20739,0.00774%,148.1,20739,0.00774,4
20110325_lr_RL_1.2,127.75 kWh,16076,0.00732%,127.75,16076,0.00732,5
20110403_lr_RL_1.2,194.48 kWh,25118,0.00756%,194.48,25118,0.00756,6
20110409_lr_RL_1.2,153.29 kWh,19559,0.00708%,153.29,19559,0.00708,7
20110411_lr_RL_1.2,150.54 kWh,20444,0.00783%,150.54,20444,0.00783,8
20110412_lr_RL_1.2,130.13 kWh,16624,0.00736%,130.13,16624,0.00736,9
300_lr_RL_1.2,118.65 kWh,13900,0.00788%,118.65,13900,0.00788,10
301_lr_RL_1.2,153.60 kWh,19767,0.00730%,153.6,19767,0.0073,11
302_lr_RL_1.2,105.62 kWh,11590,0.00621%,105.62,11590,0.00621,12
303_lr_RL_1.2,105.76 kWh,11466,0.00606%,105.76,11466,0.00606,13
304_lr_RL_1.2,193.82 kWh,24707,0.00743%,193.82,24707,0.00743,14
305_lr_RL_1.2,193.91 kWh,24397,0.00744%,193.91,24397,0.00744,15
306_lr_RL_1.2,140.88 kWh,16299,0.00683%,140.88,16299,0.00683,16
307_lr_RL_1.2,105.67 kWh,11331,0.00608%,105.67,11331,0.00608,17
308_lr_RL_1.2,149.74 kWh,19442,0.00739%,149.74,19442,0.00739,18
309_lr_RL_1.2,153.37 kWh,19905,0.00723%,153.37,19905,0.00723,19
310_lr_RL_1.2,130.38 kWh,16159,0.00728%,130.38,16159,0.00728,20
311_lr_RL_1.2,127.78 kWh,16391,0.00728%,127.78,16391,0.00728,21
312_lr_RL_1.2,106.08 kWh,11800,0.00655%,106.08,11800,0.00655,22
313_lr_RL_1.2,149.89 kWh,19977,0.00765%,149.89,19977,0.00765,23
314_lr_RL_1.2,130.41 kWh,16797,0.00752%,130.41,16797,0.00752,24
315_lr_RL_1.2,150.32 kWh,19876,0.00771%,150.32,19876,0.00771,25
316_lr_RL_1.2,153.29 kWh,19508,0.00713%,153.29,19508,0.00713,26
317_lr_RL_1.2,193.39 kWh,23834,0.00710%,193.39,23834,0.0071,27
318_lr_RL_1.2,140.66 kWh,16340,0.00678%,140.66,16340,0.00678,28
319_lr_RL_1.2,194.37 kWh,25015,0.00743%,194.37,25015,0.00743,29
320_lr_RL_1.2,141.04 kWh,16514,0.00690%,141.04,16514,0.0069,30
321_lr_RL_1.2,106.08 kWh,12079,0.00637%,106.08,12079,0.00637,31
