ExperimentName,Energy(KWh)_str,Migrations_str,SLA(%)_str,Energy(KWh),Migrations,SLA(%),Days
20110303_lr_RL_1.2,140.01 kWh,15446,0.00676%,140.01,15446,0.00676,1
20110306_lr_RL_1.2,105.56 kWh,11040,0.00626%,105.56,11040,0.00626,2
20110309_lr_RL_1.2,118.07 kWh,13037,0.00773%,118.07,13037,0.00773,3
20110322_lr_RL_1.2,146.91 kWh,18577,0.00728%,146.91,18577,0.00728,4
20110325_lr_RL_1.2,126.99 kWh,15106,0.00697%,126.99,15106,0.00697,5
20110403_lr_RL_1.2,192.08 kWh,21935,0.00689%,192.08,21935,0.00689,6
20110409_lr_RL_1.2,152.03 kWh,18776,0.00699%,152.03,18776,0.00699,7
20110411_lr_RL_1.2,149.30 kWh,18742,0.00755%,149.3,18742,0.00755,8
20110412_lr_RL_1.2,129.10 kWh,15539,0.00704%,129.1,15539,0.00704,9
300_lr_RL_1.2,117.86 kWh,13109,0.00757%,117.86,13109,0.00757,10
301_lr_RL_1.2,152.54 kWh,18573,0.00712%,152.54,18573,0.00712,11
302_lr_RL_1.2,105.54 kWh,10828,0.00582%,105.54,10828,0.00582,12
303_lr_RL_1.2,105.27 kWh,10890,0.00605%,105.27,10890,0.00605,13
304_lr_RL_1.2,192.29 kWh,22415,0.00715%,192.29,22415,0.00715,14
305_lr_RL_1.2,192.75 kWh,22944,0.00733%,192.75,22944,0.00733,15
306_lr_RL_1.2,140.44 kWh,15433,0.00672%,140.44,15433,0.00672,16
307_lr_RL_1.2,105.29 kWh,11185,0.00619%,105.29,11185,0.00619,17
308_lr_RL_1.2,149.41 kWh,18443,0.00736%,149.41,18443,0.00736,18
309_lr_RL_1.2,152.04 kWh,18191,0.00688%,152.04,18191,0.00688,19
310_lr_RL_1.2,128.86 kWh,14980,0.00682%,128.86,14980,0.00682,20
311_lr_RL_1.2,127.26 kWh,15149,0.00706%,127.26,15149,0.00706,21
312_lr_RL_1.2,105.10 kWh,11008,0.00606%,105.1,11008,0.00606,22
313_lr_RL_1.2,148.73 kWh,18433,0.00723%,148.73,18433,0.00723,23
314_lr_RL_1.2,128.41 kWh,14942,0.00683%,128.41,14942,0.00683,24
315_lr_RL_1.2,149.23 kWh,18707,0.00740%,149.23,18707,0.0074,25
316_lr_RL_1.2,152.44 kWh,18731,0.00702%,152.44,18731,0.00702,26
317_lr_RL_1.2,192.49 kWh,22675,0.00734%,192.49,22675,0.00734,27
318_lr_RL_1.2,140.10 kWh,15541,0.00673%,140.1,15541,0.00673,28
319_lr_RL_1.2,192.60 kWh,23023,0.00739%,192.6,23023,0.00739,29
320_lr_RL_1.2,139.62 kWh,14895,0.00658%,139.62,14895,0.00658,30
321_lr_RL_1.2,105.54 kWh,11066,0.00615%,105.54,11066,0.00615,31
