ExperimentName,Energy(KWh)_str,Migrations_str,SLA(%)_str,Energy(KWh),Migrations,SLA(%),Days
20110303_lr_RL_1.2,140.35 kWh,15707,0.00684%,140.35,15707,0.00684,1
20110306_lr_RL_1.2,105.50 kWh,11316,0.00627%,105.5,11316,0.00627,2
20110309_lr_RL_1.2,118.33 kWh,13225,0.00786%,118.33,13225,0.00786,3
20110322_lr_RL_1.2,147.75 kWh,19916,0.00775%,147.75,19916,0.00775,4
20110325_lr_RL_1.2,127.13 kWh,15402,0.00720%,127.13,15402,0.0072,5
20110403_lr_RL_1.2,192.76 kWh,23435,0.00735%,192.76,23435,0.00735,6
20110409_lr_RL_1.2,152.62 kWh,18722,0.00708%,152.62,18722,0.00708,7
20110411_lr_RL_1.2,149.75 kWh,19007,0.00749%,149.75,19007,0.00749,8
20110412_lr_RL_1.2,129.16 kWh,15416,0.00718%,129.16,15416,0.00718,9
300_lr_RL_1.2,117.92 kWh,12892,0.00761%,117.92,12892,0.00761,10
301_lr_RL_1.2,152.64 kWh,19340,0.00724%,152.64,19340,0.00724,11
302_lr_RL_1.2,105.43 kWh,10829,0.00600%,105.43,10829,0.006,12
303_lr_RL_1.2,105.89 kWh,11356,0.00633%,105.89,11356,0.00633,13
304_lr_RL_1.2,192.75 kWh,22875,0.00722%,192.75,22875,0.00722,14
305_lr_RL_1.2,193.53 kWh,23640,0.00740%,193.53,23640,0.0074,15
306_lr_RL_1.2,140.48 kWh,15902,0.00691%,140.48,15902,0.00691,16
307_lr_RL_1.2,105.39 kWh,11181,0.00607%,105.39,11181,0.00607,17
308_lr_RL_1.2,149.62 kWh,19185,0.00761%,149.62,19185,0.00761,18
309_lr_RL_1.2,152.28 kWh,18738,0.00703%,152.28,18738,0.00703,19
310_lr_RL_1.2,129.35 kWh,15514,0.00710%,129.35,15514,0.0071,20
311_lr_RL_1.2,127.46 kWh,15748,0.00732%,127.46,15748,0.00732,21
312_lr_RL_1.2,105.07 kWh,10645,0.00578%,105.07,10645,0.00578,22
313_lr_RL_1.2,149.63 kWh,18650,0.00718%,149.63,18650,0.00718,23
314_lr_RL_1.2,129.55 kWh,15651,0.00741%,129.55,15651,0.00741,24
315_lr_RL_1.2,149.80 kWh,19143,0.00752%,149.8,19143,0.00752,25
316_lr_RL_1.2,151.59 kWh,18182,0.00672%,151.59,18182,0.00672,26
317_lr_RL_1.2,193.23 kWh,23549,0.00739%,193.23,23549,0.00739,27
318_lr_RL_1.2,140.27 kWh,15731,0.00669%,140.27,15731,0.00669,28
319_lr_RL_1.2,192.96 kWh,22990,0.00728%,192.96,22990,0.00728,29
320_lr_RL_1.2,140.66 kWh,16007,0.00700%,140.66,16007,0.007,30
321_lr_RL_1.2,105.40 kWh,11046,0.00588%,105.4,11046,0.00588,31
