ExperimentName,Energy(KWh)_str,Migrations_str,SLA(%)_str,Energy(KWh),Migrations,SLA(%),Days
20110303_lr_RL_1.2,140.18 kWh,15027,0.00660%,140.18,15027,0.0066,1
20110306_lr_RL_1.2,105.45 kWh,10912,0.00607%,105.45,10912,0.00607,2
20110309_lr_RL_1.2,117.77 kWh,12744,0.00761%,117.77,12744,0.00761,3
20110322_lr_RL_1.2,147.14 kWh,19257,0.00729%,147.14,19257,0.00729,4
20110325_lr_RL_1.2,126.86 kWh,14960,0.00692%,126.86,14960,0.00692,5
20110403_lr_RL_1.2,192.81 kWh,22915,0.00731%,192.81,22915,0.00731,6
20110409_lr_RL_1.2,151.67 kWh,17636,0.00663%,151.67,17636,0.00663,7
20110411_lr_RL_1.2,149.36 kWh,18965,0.00732%,149.36,18965,0.00732,8
20110412_lr_RL_1.2,128.69 kWh,15230,0.00701%,128.69,15230,0.00701,9
300_lr_RL_1.2,118.34 kWh,12987,0.00779%,118.34,12987,0.00779,10
301_lr_RL_1.2,151.72 kWh,18677,0.00703%,151.72,18677,0.00703,11
302_lr_RL_1.2,105.73 kWh,11014,0.00611%,105.73,11014,0.00611,12
303_lr_RL_1.2,105.13 kWh,10797,0.00601%,105.13,10797,0.00601,13
304_lr_RL_1.2,192.32 kWh,22727,0.00720%,192.32,22727,0.0072,14
305_lr_RL_1.2,192.26 kWh,22375,0.00702%,192.26,22375,0.00702,15
306_lr_RL_1.2,140.43 kWh,15466,0.00675%,140.43,15466,0.00675,16
307_lr_RL_1.2,104.98 kWh,10843,0.00584%,104.98,10843,0.00584,17
308_lr_RL_1.2,149.28 kWh,18783,0.00756%,149.28,18783,0.00756,18
309_lr_RL_1.2,152.60 kWh,19039,0.00715%,152.6,19039,0.00715,19
310_lr_RL_1.2,129.36 kWh,15501,0.00729%,129.36,15501,0.00729,20
311_lr_RL_1.2,126.59 kWh,14946,0.00684%,126.59,14946,0.00684,21
312_lr_RL_1.2,105.16 kWh,10772,0.00612%,105.16,10772,0.00612,22
313_lr_RL_1.2,149.10 kWh,18507,0.00730%,149.1,18507,0.0073,23
314_lr_RL_1.2,129.60 kWh,15689,0.00744%,129.6,15689,0.00744,24
315_lr_RL_1.2,148.79 kWh,18321,0.00721%,148.79,18321,0.00721,25
316_lr_RL_1.2,151.91 kWh,18273,0.00693%,151.91,18273,0.00693,26
317_lr_RL_1.2,192.56 kWh,22892,0.00727%,192.56,22892,0.00727,27
318_lr_RL_1.2,140.30 kWh,15413,0.00672%,140.3,15413,0.00672,28
319_lr_RL_1.2,192.57 kWh,23317,0.00734%,192.57,23317,0.00734,29
320_lr_RL_1.2,140.50 kWh,15433,0.00678%,140.5,15433,0.00678,30
321_lr_RL_1.2,105.61 kWh,11137,0.00613%,105.61,11137,0.00613,31
