ExperimentName,Energy(KWh)_str,Migrations_str,SLA(%)_str,Energy(KWh),Migrations,SLA(%),Days
20110303_lr_RL_1.2,139.72 kWh,15005,0.00660%,139.72,15005,0.0066,1
20110306_lr_RL_1.2,105.17 kWh,10993,0.00613%,105.17,10993,0.00613,2
20110309_lr_RL_1.2,118.24 kWh,12902,0.00750%,118.24,12902,0.0075,3
20110322_lr_RL_1.2,147.14 kWh,19203,0.00737%,147.14,19203,0.00737,4
20110325_lr_RL_1.2,127.38 kWh,15477,0.00718%,127.38,15477,0.00718,5
20110403_lr_RL_1.2,192.26 kWh,22800,0.00720%,192.26,22800,0.0072,6
20110409_lr_RL_1.2,152.21 kWh,18248,0.00686%,152.21,18248,0.00686,7
20110411_lr_RL_1.2,149.42 kWh,18789,0.00766%,149.42,18789,0.00766,8
20110412_lr_RL_1.2,129.19 kWh,15560,0.00717%,129.19,15560,0.00717,9
300_lr_RL_1.2,117.95 kWh,12921,0.00755%,117.95,12921,0.00755,10
301_lr_RL_1.2,152.10 kWh,18563,0.00708%,152.1,18563,0.00708,11
302_lr_RL_1.2,105.14 kWh,10899,0.00598%,105.14,10899,0.00598,12
303_lr_RL_1.2,105.38 kWh,10801,0.00608%,105.38,10801,0.00608,13
304_lr_RL_1.2,192.43 kWh,22380,0.00712%,192.43,22380,0.00712,14
305_lr_RL_1.2,193.04 kWh,22982,0.00731%,193.04,22982,0.00731,15
306_lr_RL_1.2,140.62 kWh,15409,0.00680%,140.62,15409,0.0068,16
307_lr_RL_1.2,105.56 kWh,11331,0.00620%,105.56,11331,0.0062,17
308_lr_RL_1.2,149.16 kWh,18680,0.00752%,149.16,18680,0.00752,18
309_lr_RL_1.2,152.15 kWh,18314,0.00704%,152.15,18314,0.00704,19
310_lr_RL_1.2,129.26 kWh,15458,0.00709%,129.26,15458,0.00709,20
311_lr_RL_1.2,126.60 kWh,14762,0.00683%,126.6,14762,0.00683,21
312_lr_RL_1.2,105.19 kWh,10956,0.00611%,105.19,10956,0.00611,22
313_lr_RL_1.2,149.55 kWh,19110,0.00770%,149.55,19110,0.0077,23
314_lr_RL_1.2,128.45 kWh,14605,0.00675%,128.45,14605,0.00675,24
315_lr_RL_1.2,148.91 kWh,18560,0.00740%,148.91,18560,0.0074,25
316_lr_RL_1.2,152.48 kWh,18929,0.00723%,152.48,18929,0.00723,26
317_lr_RL_1.2,193.15 kWh,23241,0.00744%,193.15,23241,0.00744,27
318_lr_RL_1.2,140.08 kWh,14919,0.00646%,140.08,14919,0.00646,28
319_lr_RL_1.2,192.14 kWh,22647,0.00729%,192.14,22647,0.00729,29
320_lr_RL_1.2,139.81 kWh,15292,0.00660%,139.81,15292,0.0066,30
321_lr_RL_1.2,105.62 kWh,11478,0.00621%,105.62,11478,0.00621,31
