ExperimentName,Energy(KWh)_str,Migrations_str,SLA(%)_str,Energy(KWh),Migrations,SLA(%),Days
20110303_lr_RL_1.2,140.93 kWh,16197,0.00710%,140.93,16197,0.0071,1
20110306_lr_RL_1.2,105.66 kWh,11277,0.00614%,105.66,11277,0.00614,2
20110309_lr_RL_1.2,118.13 kWh,12934,0.00775%,118.13,12934,0.00775,3
20110322_lr_RL_1.2,147.58 kWh,19174,0.00732%,147.58,19174,0.00732,4
20110325_lr_RL_1.2,126.84 kWh,15019,0.00693%,126.84,15019,0.00693,5
20110403_lr_RL_1.2,192.11 kWh,22585,0.00711%,192.11,22585,0.00711,6
20110409_lr_RL_1.2,151.67 kWh,17724,0.00669%,151.67,17724,0.00669,7
20110411_lr_RL_1.2,149.30 kWh,18959,0.00745%,149.3,18959,0.00745,8
20110412_lr_RL_1.2,129.02 kWh,14901,0.00702%,129.02,14901,0.00702,9
300_lr_RL_1.2,118.38 kWh,13279,0.00778%,118.38,13279,0.00778,10
301_lr_RL_1.2,152.28 kWh,18608,0.00697%,152.28,18608,0.00697,11
302_lr_RL_1.2,105.69 kWh,11202,0.00623%,105.69,11202,0.00623,12
303_lr_RL_1.2,105.57 kWh,11359,0.00637%,105.57,11359,0.00637,13
304_lr_RL_1.2,192.12 kWh,22550,0.00705%,192.12,22550,0.00705,14
305_lr_RL_1.2,192.96 kWh,23234,0.00719%,192.96,23234,0.00719,15
306_lr_RL_1.2,140.67 kWh,15528,0.00684%,140.67,15528,0.00684,16
307_lr_RL_1.2,105.41 kWh,10963,0.00595%,105.41,10963,0.00595,17
308_lr_RL_1.2,149.85 kWh,19075,0.00742%,149.85,19075,0.00742,18
309_lr_RL_1.2,152.71 kWh,19012,0.00729%,152.71,19012,0.00729,19
310_lr_RL_1.2,129.46 kWh,15567,0.00708%,129.46,15567,0.00708,20
311_lr_RL_1.2,127.15 kWh,15141,0.00703%,127.15,15141,0.00703,21
312_lr_RL_1.2,105.37 kWh,11175,0.00622%,105.37,11175,0.00622,22
313_lr_RL_1.2,149.60 kWh,19405,0.00763%,149.6,19405,0.00763,23
314_lr_RL_1.2,129.09 kWh,15408,0.00716%,129.09,15408,0.00716,24
315_lr_RL_1.2,149.73 kWh,19552,0.00767%,149.73,19552,0.00767,25
316_lr_RL_1.2,152.31 kWh,18640,0.00712%,152.31,18640,0.00712,26
317_lr_RL_1.2,193.23 kWh,23703,0.00737%,193.23,23703,0.00737,27
318_lr_RL_1.2,140.72 kWh,15819,0.00697%,140.72,15819,0.00697,28
319_lr_RL_1.2,193.09 kWh,23301,0.00735%,193.09,23301,0.00735,29
320_lr_RL_1.2,139.91 kWh,15391,0.00666%,139.91,15391,0.00666,30
321_lr_RL_1.2,105.74 kWh,11600,0.00642%,105.74,11600,0.00642,31
