ExperimentName,Energy(KWh)_str,Migrations_str,SLA(%)_str,Energy(KWh),Migrations,SLA(%),Days
20110303_lr_RL_1.2,140.20 kWh,15524,0.00676%,140.2,15524,0.00676,1
20110306_lr_RL_1.2,105.78 kWh,11106,0.00621%,105.78,11106,0.00621,2
20110309_lr_RL_1.2,117.86 kWh,12733,0.00753%,117.86,12733,0.00753,3
20110322_lr_RL_1.2,147.13 kWh,19437,0.00757%,147.13,19437,0.00757,4
20110325_lr_RL_1.2,127.55 kWh,16384,0.00758%,127.55,16384,0.00758,5
20110403_lr_RL_1.2,192.78 kWh,23223,0.00743%,192.78,23223,0.00743,6
20110409_lr_RL_1.2,151.97 kWh,18233,0.00693%,151.97,18233,0.00693,7
20110411_lr_RL_1.2,148.86 kWh,18581,0.00742%,148.86,18581,0.00742,8
20110412_lr_RL_1.2,128.78 kWh,15203,0.00699%,128.78,15203,0.00699,9
300_lr_RL_1.2,117.90 kWh,12746,0.00746%,117.9,12746,0.00746,10
301_lr_RL_1.2,151.17 kWh,17744,0.00652%,151.17,17744,0.00652,11
302_lr_RL_1.2,104.96 kWh,10516,0.00568%,104.96,10516,0.00568,12
303_lr_RL_1.2,105.23 kWh,10973,0.00599%,105.23,10973,0.00599,13
304_lr_RL_1.2,192.47 kWh,22604,0.00718%,192.47,22604,0.00718,14
305_lr_RL_1.2,192.15 kWh,22482,0.00710%,192.15,22482,0.0071,15
306_lr_RL_1.2,140.17 kWh,15485,0.00673%,140.17,15485,0.00673,16
307_lr_RL_1.2,105.48 kWh,11193,0.00631%,105.48,11193,0.00631,17
308_lr_RL_1.2,148.82 kWh,18441,0.00729%,148.82,18441,0.00729,18
309_lr_RL_1.2,151.97 kWh,18103,0.00695%,151.97,18103,0.00695,19
310_lr_RL_1.2,129.72 kWh,15666,0.00738%,129.72,15666,0.00738,20
311_lr_RL_1.2,127.12 kWh,15348,0.00731%,127.12,15348,0.00731,21
312_lr_RL_1.2,105.12 kWh,10654,0.00593%,105.12,10654,0.00593,22
313_lr_RL_1.2,148.76 kWh,18393,0.00729%,148.76,18393,0.00729,23
314_lr_RL_1.2,129.11 kWh,15178,0.00713%,129.11,15178,0.00713,24
315_lr_RL_1.2,149.03 kWh,18720,0.00751%,149.03,18720,0.00751,25
316_lr_RL_1.2,151.63 kWh,18178,0.00690%,151.63,18178,0.0069,26
317_lr_RL_1.2,192.18 kWh,22215,0.00711%,192.18,22215,0.00711,27
318_lr_RL_1.2,140.57 kWh,15752,0.00688%,140.57,15752,0.00688,28
319_lr_RL_1.2,192.23 kWh,22173,0.00698%,192.23,22173,0.00698,29
320_lr_RL_1.2,140.63 kWh,15225,0.00671%,140.63,15225,0.00671,30
321_lr_RL_1.2,104.89 kWh,10474,0.00576%,104.89,10474,0.00576,31
