ExperimentName,Energy(KWh)_str,Migrations_str,SLA(%)_str,Energy(KWh),Migrations,SLA(%),Days
20110303_lr_RL_1.2,139.96 kWh,15032,0.00659%,139.96,15032,0.00659,1
20110306_lr_RL_1.2,105.57 kWh,11348,0.00628%,105.57,11348,0.00628,2
20110309_lr_RL_1.2,117.90 kWh,12936,0.00758%,117.9,12936,0.00758,3
20110322_lr_RL_1.2,146.71 kWh,19418,0.00750%,146.71,19418,0.0075,4
20110325_lr_RL_1.2,126.61 kWh,14759,0.00678%,126.61,14759,0.00678,5
20110403_lr_RL_1.2,192.55 kWh,23134,0.00729%,192.55,23134,0.00729,6
20110409_lr_RL_1.2,151.50 kWh,18232,0.00693%,151.5,18232,0.00693,7
20110411_lr_RL_1.2,149.12 kWh,18516,0.00744%,149.12,18516,0.00744,8
20110412_lr_RL_1.2,128.93 kWh,15184,0.00710%,128.93,15184,0.0071,9
300_lr_RL_1.2,117.62 kWh,12688,0.00744%,117.62,12688,0.00744,10
301_lr_RL_1.2,151.54 kWh,18568,0.00706%,151.54,18568,0.00706,11
302_lr_RL_1.2,105.21 kWh,11038,0.00597%,105.21,11038,0.00597,12
303_lr_RL_1.2,105.51 kWh,11144,0.00619%,105.51,11144,0.00619,13
304_lr_RL_1.2,192.38 kWh,22969,0.00727%,192.38,22969,0.00727,14
305_lr_RL_1.2,192.52 kWh,23045,0.00733%,192.52,23045,0.00733,15
306_lr_RL_1.2,140.14 kWh,15480,0.00688%,140.14,15480,0.00688,16
307_lr_RL_1.2,105.17 kWh,10993,0.00605%,105.17,10993,0.00605,17
308_lr_RL_1.2,148.85 kWh,18432,0.00725%,148.85,18432,0.00725,18
309_lr_RL_1.2,151.93 kWh,18451,0.00698%,151.93,18451,0.00698,19
310_lr_RL_1.2,129.42 kWh,15931,0.00757%,129.42,15931,0.00757,20
311_lr_RL_1.2,126.96 kWh,15098,0.00706%,126.96,15098,0.00706,21
312_lr_RL_1.2,105.23 kWh,10871,0.00597%,105.23,10871,0.00597,22
313_lr_RL_1.2,149.31 kWh,18832,0.00761%,149.31,18832,0.00761,23
314_lr_RL_1.2,129.16 kWh,15377,0.00721%,129.16,15377,0.00721,24
315_lr_RL_1.2,149.52 kWh,19067,0.00740%,149.52,19067,0.0074,25
316_lr_RL_1.2,152.50 kWh,18639,0.00726%,152.5,18639,0.00726,26
317_lr_RL_1.2,192.60 kWh,23386,0.00734%,192.6,23386,0.00734,27
318_lr_RL_1.2,140.26 kWh,15611,0.00684%,140.26,15611,0.00684,28
319_lr_RL_1.2,192.06 kWh,22258,0.00712%,192.06,22258,0.00712,29
320_lr_RL_1.2,139.92 kWh,15440,0.00674%,139.92,15440,0.00674,30
321_lr_RL_1.2,105.09 kWh,10865,0.00602%,105.09,10865,0.00602,31
