ExperimentName,Energy(KWh)_str,Migrations_str,SLA(%)_str,Energy(KWh),Migrations,SLA(%),Days
20110303_lr_RL_1.2,140.37 kWh,15312,0.00662%,140.37,15312,0.00662,1
20110306_lr_RL_1.2,105.31 kWh,11034,0.00611%,105.31,11034,0.00611,2
20110309_lr_RL_1.2,117.81 kWh,12758,0.00766%,117.81,12758,0.00766,3
20110322_lr_RL_1.2,147.38 kWh,19604,0.00747%,147.38,19604,0.00747,4
20110325_lr_RL_1.2,127.01 kWh,15579,0.00737%,127.01,15579,0.00737,5
20110403_lr_RL_1.2,192.48 kWh,22720,0.00716%,192.48,22720,0.00716,6
20110409_lr_RL_1.2,151.42 kWh,18239,0.00703%,151.42,18239,0.00703,7
20110411_lr_RL_1.2,149.04 kWh,18702,0.00734%,149.04,18702,0.00734,8
20110412_lr_RL_1.2,128.96 kWh,14911,0.00694%,128.96,14911,0.00694,9
300_lr_RL_1.2,117.90 kWh,12983,0.00763%,117.9,12983,0.00763,10
301_lr_RL_1.2,152.04 kWh,18185,0.00698%,152.04,18185,0.00698,11
302_lr_RL_1.2,105.06 kWh,10789,0.00575%,105.06,10789,0.00575,12
303_lr_RL_1.2,104.91 kWh,10579,0.00587%,104.91,10579,0.00587,13
304_lr_RL_1.2,192.14 kWh,22395,0.00701%,192.14,22395,0.00701,14
305_lr_RL_1.2,192.32 kWh,22711,0.00731%,192.32,22711,0.00731,15
306_lr_RL_1.2,139.78 kWh,14925,0.00642%,139.78,14925,0.00642,16
307_lr_RL_1.2,105.38 kWh,11307,0.00641%,105.38,11307,0.00641,17
308_lr_RL_1.2,148.95 kWh,18630,0.00768%,148.95,18630,0.00768,18
309_lr_RL_1.2,151.68 kWh,18362,0.00686%,151.68,18362,0.00686,19
310_lr_RL_1.2,128.90 kWh,14716,0.00670%,128.9,14716,0.0067,20
311_lr_RL_1.2,127.02 kWh,14938,0.00708%,127.02,14938,0.00708,21
312_lr_RL_1.2,104.98 kWh,10793,0.00587%,104.98,10793,0.00587,22
313_lr_RL_1.2,148.80 kWh,18199,0.00724%,148.8,18199,0.00724,23
314_lr_RL_1.2,129.04 kWh,15198,0.00723%,129.04,15198,0.00723,24
315_lr_RL_1.2,149.10 kWh,18655,0.00734%,149.1,18655,0.00734,25
316_lr_RL_1.2,152.46 kWh,18747,0.00716%,152.46,18747,0.00716,26
317_lr_RL_1.2,192.48 kWh,22877,0.00727%,192.48,22877,0.00727,27
318_lr_RL_1.2,140.65 kWh,15614,0.00694%,140.65,15614,0.00694,28
319_lr_RL_1.2,192.74 kWh,22709,0.00719%,192.74,22709,0.00719,29
320_lr_RL_1.2,140.11 kWh,15427,0.00670%,140.11,15427,0.0067,30
321_lr_RL_1.2,105.52 kWh,11414,0.00632%,105.52,11414,0.00632,31
