ExperimentName,Energy(KWh)_str,Migrations_str,SLA(%)_str,Energy(KWh),Migrations,SLA(%),Days
20110303_lr_RL_1.2,139.99 kWh,15126,0.00657%,139.99,15126,0.00657,1
20110306_lr_RL_1.2,105.14 kWh,10507,0.00587%,105.14,10507,0.00587,2
20110309_lr_RL_1.2,118.60 kWh,13549,0.00802%,118.6,13549,0.00802,3
20110322_lr_RL_1.2,147.24 kWh,19395,0.00738%,147.24,19395,0.00738,4
20110325_lr_RL_1.2,126.94 kWh,15404,0.00700%,126.94,15404,0.007,5
20110403_lr_RL_1.2,192.72 kWh,23044,0.00736%,192.72,23044,0.00736,6
20110409_lr_RL_1.2,152.35 kWh,18923,0.00724%,152.35,18923,0.00724,7
20110411_lr_RL_1.2,149.30 kWh,18876,0.00737%,149.3,18876,0.00737,8
20110412_lr_RL_1.2,129.37 kWh,15063,0.00697%,129.37,15063,0.00697,9
300_lr_RL_1.2,118.02 kWh,13082,0.00761%,118.02,13082,0.00761,10
301_lr_RL_1.2,152.31 kWh,18350,0.00687%,152.31,18350,0.00687,11
302_lr_RL_1.2,105.15 kWh,11108,0.00599%,105.15,11108,0.00599,12
303_lr_RL_1.2,105.43 kWh,11055,0.00602%,105.43,11055,0.00602,13
304_lr_RL_1.2,192.26 kWh,22577,0.00718%,192.26,22577,0.00718,14
305_lr_RL_1.2,192.73 kWh,23015,0.00725%,192.73,23015,0.00725,15
306_lr_RL_1.2,140.73 kWh,15465,0.00677%,140.73,15465,0.00677,16
307_lr_RL_1.2,105.78 kWh,11435,0.00644%,105.78,11435,0.00644,17
308_lr_RL_1.2,149.38 kWh,18455,0.00733%,149.38,18455,0.00733,18
309_lr_RL_1.2,152.23 kWh,19142,0.00720%,152.23,19142,0.0072,19
310_lr_RL_1.2,129.24 kWh,15218,0.00705%,129.24,15218,0.00705,20
311_lr_RL_1.2,126.82 kWh,15146,0.00709%,126.82,15146,0.00709,21
312_lr_RL_1.2,105.61 kWh,10953,0.00597%,105.61,10953,0.00597,22
313_lr_RL_1.2,149.40 kWh,18439,0.00737%,149.4,18439,0.00737,23
314_lr_RL_1.2,128.85 kWh,15146,0.00705%,128.85,15146,0.00705,24
315_lr_RL_1.2,149.34 kWh,18854,0.00749%,149.34,18854,0.00749,25
316_lr_RL_1.2,152.06 kWh,17924,0.00671%,152.06,17924,0.00671,26
317_lr_RL_1.2,192.38 kWh,22870,0.00718%,192.38,22870,0.00718,27
318_lr_RL_1.2,141.07 kWh,15842,0.00695%,141.07,15842,0.00695,28
319_lr_RL_1.2,192.36 kWh,22452,0.00694%,192.36,22452,0.00694,29
320_lr_RL_1.2,140.34 kWh,15334,0.00665%,140.34,15334,0.00665,30
321_lr_RL_1.2,105.42 kWh,11272,0.00620%,105.42,11272,0.0062,31
