ExperimentName,Energy(KWh)_str,Migrations_str,SLA(%)_str,Energy(KWh),Migrations,SLA(%),Days
20110303_lr_RL_1.2,140.35 kWh,15482,0.00671%,140.35,15482,0.00671,1
20110306_lr_RL_1.2,105.13 kWh,10959,0.00590%,105.13,10959,0.0059,2
20110309_lr_RL_1.2,117.73 kWh,12454,0.00735%,117.73,12454,0.00735,3
20110322_lr_RL_1.2,146.98 kWh,19579,0.00753%,146.98,19579,0.00753,4
20110325_lr_RL_1.2,127.12 kWh,15397,0.00721%,127.12,15397,0.00721,5
20110403_lr_RL_1.2,192.29 kWh,22644,0.00725%,192.29,22644,0.00725,6
20110409_lr_RL_1.2,151.67 kWh,17572,0.00680%,151.67,17572,0.0068,7
20110411_lr_RL_1.2,149.12 kWh,18459,0.00734%,149.12,18459,0.00734,8
20110412_lr_RL_1.2,128.99 kWh,14999,0.00717%,128.99,14999,0.00717,9
300_lr_RL_1.2,118.00 kWh,13078,0.00788%,118.0,13078,0.00788,10
301_lr_RL_1.2,152.66 kWh,19433,0.00737%,152.66,19433,0.00737,11
302_lr_RL_1.2,105.57 kWh,11280,0.00619%,105.57,11280,0.00619,12
303_lr_RL_1.2,105.51 kWh,11207,0.00616%,105.51,11207,0.00616,13
304_lr_RL_1.2,191.90 kWh,22797,0.00711%,191.9,22797,0.00711,14
305_lr_RL_1.2,192.41 kWh,22868,0.00717%,192.41,22868,0.00717,15
306_lr_RL_1.2,140.21 kWh,15526,0.00677%,140.21,15526,0.00677,16
307_lr_RL_1.2,105.77 kWh,10988,0.00629%,105.77,10988,0.00629,17
308_lr_RL_1.2,148.75 kWh,18166,0.00713%,148.75,18166,0.00713,18
309_lr_RL_1.2,152.02 kWh,18558,0.00703%,152.02,18558,0.00703,19
310_lr_RL_1.2,129.19 kWh,15438,0.00731%,129.19,15438,0.00731,20
311_lr_RL_1.2,127.01 kWh,15589,0.00716%,127.01,15589,0.00716,21
312_lr_RL_1.2,105.01 kWh,10698,0.00592%,105.01,10698,0.00592,22
313_lr_RL_1.2,149.13 kWh,18497,0.00732%,149.13,18497,0.00732,23
314_lr_RL_1.2,128.32 kWh,13986,0.00644%,128.32,13986,0.00644,24
315_lr_RL_1.2,149.44 kWh,18558,0.00748%,149.44,18558,0.00748,25
316_lr_RL_1.2,152.01 kWh,18506,0.00703%,152.01,18506,0.00703,26
317_lr_RL_1.2,192.03 kWh,23256,0.00729%,192.03,23256,0.00729,27
318_lr_RL_1.2,139.79 kWh,15018,0.00650%,139.79,15018,0.0065,28
319_lr_RL_1.2,192.30 kWh,22116,0.00712%,192.3,22116,0.00712,29
320_lr_RL_1.2,140.25 kWh,14939,0.00651%,140.25,14939,0.00651,30
321_lr_RL_1.2,104.98 kWh,11017,0.00616%,104.98,11017,0.00616,31
