ExperimentName,Energy(KWh)_str,Migrations_str,SLA(%)_str,Energy(KWh),Migrations,SLA(%),Days
20110303_lr_RL_1.2,140.29 kWh,15346,0.00663%,140.29,15346,0.00663,1
20110306_lr_RL_1.2,105.53 kWh,10827,0.00606%,105.53,10827,0.00606,2
20110309_lr_RL_1.2,118.05 kWh,12700,0.00756%,118.05,12700,0.00756,3
20110322_lr_RL_1.2,147.33 kWh,19528,0.00747%,147.33,19528,0.00747,4
20110325_lr_RL_1.2,126.72 kWh,15188,0.00707%,126.72,15188,0.00707,5
20110403_lr_RL_1.2,192.82 kWh,23108,0.00735%,192.82,23108,0.00735,6
20110409_lr_RL_1.2,152.20 kWh,18751,0.00710%,152.2,18751,0.0071,7
20110411_lr_RL_1.2,149.19 kWh,19046,0.00745%,149.19,19046,0.00745,8
20110412_lr_RL_1.2,128.96 kWh,15436,0.00711%,128.96,15436,0.00711,9
300_lr_RL_1.2,118.31 kWh,13550,0.00797%,118.31,13550,0.00797,10
301_lr_RL_1.2,152.20 kWh,18331,0.00695%,152.2,18331,0.00695,11
302_lr_RL_1.2,105.85 kWh,11494,0.00651%,105.85,11494,0.00651,12
303_lr_RL_1.2,105.53 kWh,10933,0.00604%,105.53,10933,0.00604,13
304_lr_RL_1.2,192.82 kWh,23125,0.00738%,192.82,23125,0.00738,14
305_lr_RL_1.2,192.43 kWh,22668,0.00710%,192.43,22668,0.0071,15
306_lr_RL_1.2,140.61 kWh,15829,0.00696%,140.61,15829,0.00696,16
307_lr_RL_1.2,105.20 kWh,11093,0.00629%,105.2,11093,0.00629,17
308_lr_RL_1.2,149.26 kWh,18474,0.00741%,149.26,18474,0.00741,18
309_lr_RL_1.2,151.83 kWh,18403,0.00696%,151.83,18403,0.00696,19
310_lr_RL_1.2,128.95 kWh,15325,0.00729%,128.95,15325,0.00729,20
311_lr_RL_1.2,127.00 kWh,15595,0.00726%,127.0,15595,0.00726,21
312_lr_RL_1.2,105.02 kWh,10567,0.00567%,105.02,10567,0.00567,22
313_lr_RL_1.2,149.01 kWh,19039,0.00750%,149.01,19039,0.0075,23
314_lr_RL_1.2,129.18 kWh,15291,0.00710%,129.18,15291,0.0071,24
315_lr_RL_1.2,149.49 kWh,18682,0.00730%,149.49,18682,0.0073,25
316_lr_RL_1.2,152.19 kWh,18870,0.00717%,152.19,18870,0.00717,26
317_lr_RL_1.2,192.87 kWh,22709,0.00722%,192.87,22709,0.00722,27
318_lr_RL_1.2,139.72 kWh,15238,0.00648%,139.72,15238,0.00648,28
319_lr_RL_1.2,192.48 kWh,22988,0.00727%,192.48,22988,0.00727,29
320_lr_RL_1.2,140.10 kWh,15336,0.00676%,140.1,15336,0.00676,30
321_lr_RL_1.2,105.02 kWh,10357,0.00565%,105.02,10357,0.00565,31
